lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
French,1,plurality,True,1,DT,0.88,0.94,0.90,0.78,0.88,0.74,0.87,0.86,0.81,0.83,0.89,0.86,
French,1,plurality,True,2,RF,0.90,0.94,0.90,0.93,0.93,0.92,0.90,0.90,0.90,0.93,0.96,0.95,
French,1,plurality,False,1,DT,0.86,0.93,0.90,0.92,0.81,0.81,0.84,0.90,0.85,0.86,0.92,0.86,
French,1,plurality,True,3,NN,0.95,0.93,0.91,0.94,0.94,0.90,0.92,0.89,0.91,0.93,0.95,0.94,
French,1,plurality,False,3,NN,0.94,0.92,0.90,0.95,0.93,0.94,0.91,0.93,0.91,0.92,0.95,0.96,
French,1,plurality,False,2,RF,0.91,0.96,0.90,0.93,0.92,0.91,0.92,0.90,0.87,0.93,0.96,0.94,
French,2,gender,True,2,RF,0.76,0.79,0.81,0.80,0.81,0.78,0.82,0.81,0.80,0.77,0.82,0.79,
French,2,gender,True,1,DT,0.68,0.73,0.75,0.70,0.70,0.64,0.76,0.77,0.70,0.69,0.69,0.69,
French,2,gender,False,1,DT,0.66,0.79,0.70,0.70,0.65,0.67,0.79,0.72,0.67,0.74,0.70,0.67,
French,2,gender,True,3,NN,0.76,0.75,0.79,0.78,0.79,0.73,0.81,0.82,0.78,0.81,0.73,0.79,
French,2,gender,False,2,RF,0.75,0.77,0.81,0.79,0.78,0.77,0.77,0.81,0.77,0.79,0.85,0.78,
French,2,gender,False,3,NN,0.74,0.73,0.80,0.75,0.76,0.76,0.81,0.81,0.79,0.76,0.76,0.77,
