lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.87,0.88,0.84,0.85,0.83,0.79,0.92,0.87,0.90,0.87,0.86,0.87,
Czech,1,plurality,True,3,NN,0.89,0.82,0.78,0.78,0.82,0.80,0.86,0.87,0.88,0.84,0.81,0.84,
Czech,1,plurality,True,1,DT,0.86,0.86,0.78,0.81,0.82,0.76,0.85,0.86,0.91,0.84,0.83,0.81,
Czech,1,plurality,False,2,RF,0.82,0.84,0.77,0.83,0.85,0.78,0.85,0.83,0.89,0.86,0.83,0.82,
Czech,1,plurality,False,3,NN,0.72,0.82,0.74,0.74,0.81,0.80,0.80,0.82,0.82,0.84,0.77,0.81,
Czech,1,plurality,False,1,DT,0.82,0.79,0.74,0.80,0.76,0.76,0.84,0.80,0.83,0.81,0.78,0.80,
Czech,2,gender2,True,3,NN,0.94,0.94,0.96,0.89,0.92,0.85,0.93,0.94,0.93,0.91,0.92,0.86,
Czech,2,gender2,False,2,RF,0.71,0.67,0.70,0.68,0.69,0.70,0.74,0.68,0.72,0.71,0.72,0.70,
Czech,2,gender2,False,1,DT,0.61,0.60,0.61,0.59,0.51,0.59,0.63,0.61,0.58,0.64,0.62,0.60,
Czech,2,gender2,False,3,NN,0.67,0.65,0.72,0.70,0.73,0.68,0.67,0.69,0.71,0.73,0.77,0.68,
Czech,2,gender2,True,1,DT,0.90,0.85,0.91,0.76,0.63,0.67,0.87,0.88,0.89,0.72,0.65,0.56,
Czech,2,gender2,True,2,RF,0.94,0.90,0.95,0.89,0.90,0.90,0.94,0.90,0.93,0.92,0.93,0.90,
Czech,3,case,True,1,DT,0.48,0.51,0.55,0.49,0.41,0.38,0.46,0.52,0.48,0.38,0.40,0.41,
Czech,3,case,True,3,NN,0.45,0.43,0.46,0.41,0.40,0.37,0.47,0.45,0.48,0.43,0.39,0.39,
Czech,3,case,False,2,RF,0.43,0.39,0.42,0.43,0.43,0.44,0.40,0.39,0.39,0.39,0.48,0.41,
Czech,3,case,True,2,RF,0.59,0.51,0.54,0.49,0.42,0.45,0.53,0.52,0.55,0.46,0.57,0.46,
Czech,3,case,False,1,DT,0.37,0.36,0.40,0.38,0.38,0.37,0.42,0.37,0.33,0.37,0.39,0.31,
Czech,3,case,False,3,NN,0.41,0.33,0.33,0.35,0.39,0.31,0.39,0.40,0.38,0.42,0.34,0.38,
