lang,attribute,supplement,method,term_type,accuracy
French,gender,False,NN,skippy2gram-hash-at-both,0.72
French,plurality,True,DT,skippy2gram-hash-at-both,0.89
French,plurality,True,RF,skippy2gram-hash-at-both,0.94
French,plurality,True,NN,skippy2gram-hash-at-both,0.94
French,plurality,False,DT,skippy2gram-hash-at-both,0.88
French,plurality,False,RF,skippy2gram-hash-at-both,0.94
French,plurality,False,NN,skippy2gram-hash-at-both,0.94
French,gender,True,DT,skippy3gram-hash-at-both,0.70
French,gender,True,RF,skippy3gram-hash-at-both,0.77
French,gender,True,NN,skippy3gram-hash-at-both,0.77
French,gender,False,DT,skippy3gram-hash-at-both,0.71
French,gender,False,RF,skippy3gram-hash-at-both,0.74
French,gender,False,NN,skippy3gram-hash-at-both,0.78
French,plurality,True,DT,skippy3gram-hash-at-both,0.89
French,plurality,True,RF,skippy3gram-hash-at-both,0.94
French,plurality,True,NN,skippy3gram-hash-at-both,0.94
French,plurality,False,DT,skippy3gram-hash-at-both,0.86
French,plurality,False,RF,skippy3gram-hash-at-both,0.95
French,plurality,False,NN,skippy3gram-hash-at-both,0.94
French,gender,True,DT,skippy4gram-hash-at-both,0.72
French,gender,True,RF,skippy4gram-hash-at-both,0.76
French,gender,True,NN,skippy4gram-hash-at-both,0.79
French,gender,False,DT,skippy4gram-hash-at-both,0.61
French,gender,False,RF,skippy4gram-hash-at-both,0.77
French,gender,False,NN,skippy4gram-hash-at-both,0.73
French,plurality,True,DT,skippy4gram-hash-at-both,0.82
French,plurality,True,RF,skippy4gram-hash-at-both,0.96
French,plurality,True,NN,skippy4gram-hash-at-both,0.96
French,plurality,False,DT,skippy4gram-hash-at-both,0.89
French,plurality,False,RF,skippy4gram-hash-at-both,0.95
French,plurality,False,NN,skippy4gram-hash-at-both,0.95
