lang,attribute,supplement,method,term_type,accuracy
Irish,gender,True,DT,2gram-no-hash,0.81
Irish,gender,True,RF,2gram-no-hash,0.82
Irish,gender,True,NN,2gram-no-hash,0.76
Irish,gender,False,DT,2gram-no-hash,0.66
Irish,gender,False,RF,2gram-no-hash,0.76
Irish,gender,False,NN,2gram-no-hash,0.73
Irish,plurality,True,DT,2gram-no-hash,0.70
Irish,plurality,True,RF,2gram-no-hash,0.71
Irish,plurality,True,NN,2gram-no-hash,0.69
Irish,plurality,False,DT,2gram-no-hash,0.66
Irish,plurality,False,RF,2gram-no-hash,0.69
Irish,plurality,False,NN,2gram-no-hash,0.65
Irish,case,True,DT,2gram-no-hash,0.96
Irish,case,True,RF,2gram-no-hash,0.96
Irish,case,True,NN,2gram-no-hash,0.95
Irish,case,False,DT,2gram-no-hash,0.94
Irish,case,False,RF,2gram-no-hash,0.95
Irish,case,False,NN,2gram-no-hash,0.95
Irish,gender,True,DT,3gram-no-hash,0.69
Irish,gender,True,RF,3gram-no-hash,0.77
Irish,gender,True,NN,3gram-no-hash,0.73
Irish,gender,False,DT,3gram-no-hash,0.68
Irish,gender,False,RF,3gram-no-hash,0.76
Irish,gender,False,NN,3gram-no-hash,0.69
Irish,plurality,True,DT,3gram-no-hash,0.69
Irish,plurality,True,RF,3gram-no-hash,0.69
Irish,plurality,True,NN,3gram-no-hash,0.62
Irish,plurality,False,DT,3gram-no-hash,0.61
Irish,plurality,False,RF,3gram-no-hash,0.67
Irish,plurality,False,NN,3gram-no-hash,0.60
Irish,case,True,DT,3gram-no-hash,0.96
Irish,case,True,RF,3gram-no-hash,0.97
Irish,case,True,NN,3gram-no-hash,0.97
Irish,case,False,DT,3gram-no-hash,0.95
Irish,case,False,RF,3gram-no-hash,0.97
Irish,case,False,NN,3gram-no-hash,0.97
Irish,gender,True,DT,4gram-no-hash,0.75
Irish,gender,True,RF,4gram-no-hash,0.79
Irish,gender,True,NN,4gram-no-hash,0.76
Irish,gender,False,DT,4gram-no-hash,0.72
Irish,gender,False,RF,4gram-no-hash,0.75
Irish,gender,False,NN,4gram-no-hash,0.74
Irish,plurality,True,DT,4gram-no-hash,0.65
Irish,plurality,True,RF,4gram-no-hash,0.67
Irish,plurality,True,NN,4gram-no-hash,0.68
Irish,plurality,False,DT,4gram-no-hash,0.60
Irish,plurality,False,RF,4gram-no-hash,0.65
Irish,plurality,False,NN,4gram-no-hash,0.55
Irish,case,True,DT,4gram-no-hash,0.95
Irish,case,True,RF,4gram-no-hash,0.97
Irish,case,True,NN,4gram-no-hash,0.97
Irish,case,False,DT,4gram-no-hash,0.96
Irish,case,False,RF,4gram-no-hash,0.97
Irish,case,False,NN,4gram-no-hash,0.97
Irish,gender,True,DT,skippy2gram-no-hash,0.74
Irish,gender,True,RF,skippy2gram-no-hash,0.76
Irish,gender,True,NN,skippy2gram-no-hash,0.71
Irish,gender,False,DT,skippy2gram-no-hash,0.68
