lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.87,0.84,0.84,0.88,0.84,0.86,0.85,0.91,0.88,0.81,0.82,0.76,
Czech,1,plurality,False,2,RF,0.84,0.83,0.83,0.84,0.84,0.88,0.81,0.83,0.86,0.85,0.85,0.83,
Czech,1,plurality,False,3,NN,0.78,0.81,0.82,0.84,0.83,0.86,0.80,0.81,0.86,0.84,0.81,0.82,
Czech,1,plurality,False,1,DT,0.80,0.81,0.81,0.83,0.82,0.83,0.80,0.82,0.84,0.84,0.79,0.76,
Czech,1,plurality,True,2,RF,0.90,0.90,0.88,0.85,0.85,0.89,0.87,0.88,0.91,0.89,0.85,0.86,
Czech,1,plurality,True,3,NN,0.87,0.89,0.86,0.86,0.85,0.88,0.88,0.86,0.89,0.83,0.82,0.80,
Czech,2,gender,True,2,RF,0.70,0.71,0.71,0.74,0.58,0.65,0.74,0.68,0.70,0.70,0.63,0.63,
Czech,2,gender,True,1,DT,0.58,0.60,0.54,0.50,0.48,0.51,0.59,0.54,0.55,0.53,0.45,0.50,
Czech,2,gender,True,3,NN,0.68,0.74,0.68,0.74,0.67,0.72,0.68,0.70,0.68,0.67,0.67,0.70,
Czech,2,gender,False,2,RF,0.70,0.73,0.68,0.70,0.61,0.62,0.70,0.66,0.63,0.67,0.58,0.60,
Czech,2,gender,False,3,NN,0.67,0.69,0.68,0.72,0.68,0.67,0.67,0.66,0.68,0.67,0.62,0.73,
Czech,2,gender,False,1,DT,0.56,0.56,0.55,0.55,0.53,0.44,0.60,0.55,0.59,0.55,0.48,0.54,
Czech,3,case,True,1,DT,0.52,0.47,0.47,0.44,0.33,0.40,0.57,0.45,0.53,0.45,0.38,0.38,
Czech,3,case,True,3,NN,0.56,0.44,0.45,0.47,0.36,0.48,0.51,0.44,0.52,0.42,0.40,0.38,
Czech,3,case,False,1,DT,0.39,0.38,0.40,0.40,0.39,0.41,0.41,0.39,0.41,0.46,0.41,0.33,
Czech,3,case,False,2,RF,0.42,0.39,0.44,0.48,0.44,0.50,0.46,0.42,0.45,0.47,0.47,0.43,
Czech,3,case,False,3,NN,0.39,0.34,0.39,0.40,0.39,0.42,0.45,0.36,0.41,0.44,0.42,0.36,
Czech,3,case,True,2,RF,0.59,0.53,0.55,0.59,0.54,0.55,0.62,0.52,0.55,0.56,0.54,0.53,
