lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Irish,1,plurality,True,2,RF,0.76,0.70,0.61,0.70,0.71,0.70,0.77,0.68,0.70,0.74,0.64,0.63,
Irish,1,plurality,True,3,NN,0.64,0.61,0.59,0.68,0.70,0.69,0.61,0.64,0.64,0.64,0.63,0.55,
Irish,1,plurality,True,1,DT,0.69,0.67,0.57,0.60,0.66,0.71,0.73,0.60,0.71,0.66,0.68,0.58,
Irish,1,plurality,False,2,RF,0.69,0.68,0.57,0.69,0.71,0.72,0.72,0.64,0.68,0.70,0.68,0.64,
Irish,1,plurality,False,3,NN,0.61,0.56,0.53,0.63,0.73,0.71,0.67,0.62,0.54,0.64,0.60,0.54,
Irish,1,plurality,False,1,DT,0.67,0.65,0.57,0.69,0.64,0.67,0.68,0.64,0.65,0.67,0.65,0.61,
Irish,2,gender,True,3,NN,0.69,0.67,0.75,0.71,0.75,0.77,0.74,0.71,0.72,0.75,0.71,0.75,
Irish,2,gender,False,2,RF,0.76,0.70,0.73,0.74,0.74,0.73,0.71,0.68,0.72,0.73,0.65,0.68,
Irish,2,gender,False,1,DT,0.73,0.68,0.68,0.73,0.70,0.62,0.67,0.72,0.74,0.72,0.68,0.68,
Irish,2,gender,False,3,NN,0.63,0.63,0.72,0.67,0.68,0.80,0.63,0.65,0.62,0.75,0.70,0.68,
Irish,2,gender,True,1,DT,0.72,0.74,0.75,0.69,0.68,0.68,0.74,0.71,0.68,0.76,0.65,0.68,
Irish,2,gender,True,2,RF,0.84,0.69,0.78,0.76,0.73,0.75,0.74,0.73,0.82,0.79,0.65,0.74,
Irish,3,case,True,1,DT,0.99,0.98,0.97,0.95,0.98,0.96,0.97,0.96,0.96,0.95,0.93,0.96,
Irish,3,case,True,3,NN,1.00,0.96,0.98,0.94,0.98,0.96,0.97,0.96,0.97,0.95,0.95,0.96,
Irish,3,case,False,2,RF,1.00,0.96,0.98,0.94,0.98,0.96,0.97,0.96,0.98,0.95,0.95,0.96,
Irish,3,case,True,2,RF,1.00,0.96,0.98,0.94,0.98,0.96,0.97,0.96,0.98,0.95,0.95,0.96,
Irish,3,case,False,1,DT,0.96,0.96,0.97,0.94,0.98,0.96,0.93,0.95,0.97,0.93,0.91,0.96,
Irish,3,case,False,3,NN,1.00,0.96,0.98,0.94,0.98,0.96,0.97,0.96,0.97,0.95,0.95,0.96,
