lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
German,1,plurality,True,2,RF,0.83,0.78,0.85,0.82,0.86,0.81,0.82,0.81,0.81,0.88,0.84,0.89,
German,1,plurality,True,3,NN,0.78,0.77,0.78,0.77,0.81,0.83,0.78,0.72,0.71,0.83,0.74,0.78,
German,1,plurality,True,1,DT,0.73,0.74,0.76,0.81,0.78,0.75,0.78,0.75,0.83,0.82,0.72,0.83,
German,1,plurality,False,2,RF,0.80,0.74,0.81,0.79,0.81,0.81,0.73,0.78,0.78,0.86,0.79,0.87,
German,1,plurality,False,3,NN,0.71,0.73,0.78,0.72,0.78,0.78,0.77,0.71,0.70,0.84,0.75,0.74,
German,1,plurality,False,1,DT,0.72,0.77,0.78,0.82,0.68,0.73,0.79,0.73,0.78,0.77,0.73,0.85,
German,2,gender,True,3,NN,0.57,0.50,0.57,0.45,0.51,0.57,0.53,0.55,0.50,0.57,0.56,0.46,
German,2,gender,False,2,RF,0.58,0.61,0.54,0.54,0.50,0.51,0.57,0.56,0.50,0.49,0.66,0.61,
German,2,gender,False,1,DT,0.48,0.55,0.50,0.51,0.44,0.46,0.39,0.45,0.53,0.47,0.58,0.43,
German,2,gender,False,3,NN,0.53,0.53,0.53,0.48,0.51,0.57,0.57,0.56,0.50,0.54,0.52,0.55,
German,2,gender,True,1,DT,0.55,0.55,0.44,0.44,0.41,0.45,0.54,0.50,0.41,0.43,0.57,0.49,
German,2,gender,True,2,RF,0.62,0.62,0.58,0.55,0.55,0.54,0.54,0.55,0.52,0.56,0.66,0.62,
German,3,case,True,1,DT,0.41,0.31,0.38,0.38,0.31,0.41,0.33,0.34,0.39,0.33,0.32,0.29,
German,3,case,True,3,NN,0.28,0.31,0.25,0.35,0.33,0.38,0.30,0.33,0.31,0.34,0.29,0.36,
German,3,case,False,2,RF,0.36,0.38,0.34,0.37,0.42,0.38,0.38,0.34,0.37,0.33,0.38,0.37,
German,3,case,True,2,RF,0.34,0.39,0.35,0.35,0.39,0.45,0.31,0.42,0.38,0.38,0.37,0.35,
German,3,case,False,1,DT,0.33,0.33,0.36,0.27,0.38,0.38,0.30,0.34,0.34,0.36,0.32,0.29,
German,3,case,False,3,NN,0.28,0.33,0.30,0.36,0.34,0.42,0.32,0.35,0.32,0.28,0.38,0.33,
