lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.82,0.86,0.88,0.84,0.84,0.85,0.88,0.88,0.88,0.83,0.76,0.82,
Czech,1,plurality,True,3,NN,0.74,0.79,0.82,0.80,0.74,0.80,0.84,0.84,0.84,0.73,0.75,0.85,
Czech,1,plurality,True,1,DT,0.79,0.83,0.88,0.76,0.78,0.82,0.84,0.86,0.89,0.81,0.72,0.85,
Czech,1,plurality,False,2,RF,0.72,0.79,0.83,0.78,0.81,0.85,0.78,0.84,0.84,0.82,0.75,0.81,
Czech,1,plurality,False,3,NN,0.69,0.80,0.78,0.77,0.79,0.82,0.81,0.81,0.80,0.76,0.69,0.84,
Czech,1,plurality,False,1,DT,0.77,0.82,0.81,0.83,0.80,0.81,0.80,0.85,0.82,0.76,0.72,0.81,
Czech,2,gender2,True,3,NN,0.96,0.95,0.89,0.86,0.78,0.80,0.92,0.93,0.88,0.90,0.79,0.80,
Czech,2,gender2,False,2,RF,0.73,0.70,0.67,0.63,0.63,0.67,0.68,0.68,0.60,0.65,0.62,0.64,
Czech,2,gender2,False,1,DT,0.66,0.69,0.57,0.60,0.53,0.55,0.57,0.69,0.57,0.58,0.57,0.57,
Czech,2,gender2,False,3,NN,0.59,0.64,0.66,0.59,0.55,0.72,0.68,0.74,0.67,0.67,0.64,0.69,
Czech,2,gender2,True,1,DT,0.93,0.88,0.82,0.66,0.84,0.56,0.86,0.87,0.88,0.69,0.78,0.57,
Czech,2,gender2,True,2,RF,0.96,0.96,0.93,0.85,0.78,0.91,0.92,0.88,0.93,0.91,0.92,0.81,
Czech,3,case,True,1,DT,0.54,0.38,0.38,0.44,0.33,0.30,0.63,0.47,0.42,0.41,0.33,0.40,
Czech,3,case,True,3,NN,0.35,0.34,0.38,0.43,0.43,0.39,0.50,0.48,0.35,0.33,0.38,0.41,
Czech,3,case,False,2,RF,0.32,0.46,0.38,0.41,0.47,0.41,0.47,0.55,0.39,0.37,0.37,0.46,
Czech,3,case,True,2,RF,0.53,0.55,0.42,0.56,0.52,0.48,0.65,0.58,0.45,0.48,0.42,0.47,
Czech,3,case,False,1,DT,0.31,0.38,0.30,0.33,0.40,0.34,0.38,0.49,0.36,0.28,0.32,0.42,
Czech,3,case,False,3,NN,0.33,0.33,0.32,0.39,0.43,0.36,0.42,0.41,0.35,0.36,0.41,0.32,
