lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
French,1,plurality,True,1,DT,0.86,0.89,0.88,0.91,0.82,0.92,0.91,0.91,0.86,0.90,0.82,0.86,
French,1,plurality,True,2,RF,0.90,0.91,0.87,0.93,0.91,0.96,0.91,0.92,0.91,0.91,0.92,0.95,
French,1,plurality,False,1,DT,0.88,0.87,0.88,0.93,0.84,0.85,0.88,0.91,0.88,0.88,0.82,0.84,
French,1,plurality,True,3,NN,0.93,0.88,0.88,0.96,0.93,0.96,0.93,0.93,0.93,0.93,0.94,0.97,
French,1,plurality,False,3,NN,0.93,0.88,0.90,0.97,0.91,0.96,0.91,0.93,0.90,0.98,0.93,0.95,
French,1,plurality,False,2,RF,0.90,0.89,0.86,0.93,0.91,0.96,0.92,0.92,0.91,0.92,0.89,0.94,
French,2,gender,True,2,RF,0.82,0.81,0.74,0.78,0.76,0.79,0.76,0.72,0.74,0.79,0.74,0.75,
French,2,gender,True,1,DT,0.72,0.78,0.72,0.67,0.71,0.62,0.62,0.68,0.66,0.72,0.65,0.59,
French,2,gender,False,1,DT,0.75,0.72,0.69,0.78,0.68,0.63,0.62,0.69,0.62,0.67,0.62,0.64,
French,2,gender,True,3,NN,0.72,0.76,0.78,0.76,0.73,0.68,0.74,0.69,0.66,0.70,0.74,0.72,
French,2,gender,False,2,RF,0.85,0.81,0.73,0.79,0.75,0.77,0.77,0.76,0.74,0.75,0.76,0.75,
French,2,gender,False,3,NN,0.78,0.72,0.78,0.75,0.70,0.74,0.74,0.70,0.70,0.73,0.78,0.74,
