lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,2g-no-hash,2g-no-hash,3g-no-hash,3g-no-hash,3g-no-hash,4g-no-hash,4g-no-hash,4g-no-hash,xsk2g-no-hash,xsk2g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk3g-no-hash,xsk3g-no-hash,xsk4g-no-hash,xsk4g-no-hash,xsk4g-no-hash,2g-hash-at-both,2g-hash-at-both,2g-hash-at-both,3g-hash-at-both,3g-hash-at-both,3g-hash-at-both,4g-hash-at-both,4g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk2g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk3g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,xsk4g-hash-at-both,xsk4g-hash-at-both,max
Czech,2,gender2,True,1,DT,0.85,0.92,0.89,0.88,0.88,0.77,0.83,0.80,0.87,0.89,0.74,0.84,0.47,0.63,0.61,0.60,0.70,0.59,0.87,0.90,0.89,0.90,0.86,0.85,0.85,0.89,0.88,0.60,0.69,0.70,0.57,0.59,0.70,0.56,0.59,0.56,
Czech,2,gender2,True,2,RF,0.94,0.95,0.94,0.94,0.93,0.93,0.92,0.93,0.91,0.94,0.91,0.92,0.86,0.84,0.85,0.87,0.86,0.86,0.93,0.94,0.93,0.91,0.92,0.92,0.92,0.92,0.92,0.91,0.92,0.94,0.85,0.84,0.88,0.83,0.84,0.81,
Czech,2,gender2,True,3,NN,0.94,0.95,0.94,0.93,0.93,0.93,0.94,0.95,0.94,0.90,0.90,0.93,0.92,0.86,0.90,0.85,0.86,0.88,0.93,0.92,0.93,0.91,0.94,0.93,0.89,0.92,0.92,0.96,0.94,0.94,0.87,0.90,0.88,0.88,0.87,0.86,
Czech,2,gender2,False,1,DT,0.65,0.68,0.61,0.62,0.63,0.64,0.69,0.65,0.69,0.62,0.62,0.59,0.62,0.57,0.59,0.55,0.56,0.54,0.68,0.60,0.65,0.67,0.65,0.63,0.63,0.58,0.58,0.61,0.64,0.61,0.57,0.53,0.57,0.57,0.60,0.59,
Czech,2,gender2,False,2,RF,0.78,0.74,0.76,0.71,0.70,0.70,0.74,0.74,0.70,0.71,0.74,0.71,0.68,0.69,0.67,0.66,0.67,0.69,0.74,0.73,0.73,0.70,0.70,0.70,0.71,0.73,0.67,0.69,0.74,0.73,0.68,0.66,0.70,0.68,0.67,0.65,
Czech,2,gender2,False,3,NN,0.74,0.75,0.70,0.73,0.73,0.70,0.75,0.75,0.76,0.75,0.77,0.75,0.77,0.78,0.78,0.78,0.78,0.78,0.76,0.70,0.72,0.72,0.76,0.78,0.72,0.74,0.72,0.77,0.78,0.77,0.69,0.73,0.73,0.75,0.73,0.76,
