lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
French,1,plurality,True,1,DT,0.86,0.86,0.93,0.91,0.86,0.89,0.84,0.85,0.88,0.93,0.94,0.88,
French,1,plurality,True,2,RF,0.91,0.92,0.92,0.94,0.95,0.94,0.92,0.92,0.95,0.97,0.96,0.93,
French,1,plurality,False,1,DT,0.85,0.90,0.92,0.93,0.88,0.88,0.89,0.86,0.86,0.96,0.85,0.83,
French,1,plurality,True,3,NN,0.94,0.92,0.94,0.93,0.95,0.95,0.94,0.93,0.92,0.95,0.96,0.94,
French,1,plurality,False,3,NN,0.93,0.92,0.93,0.95,0.97,0.94,0.94,0.92,0.93,0.97,0.93,0.94,
French,1,plurality,False,2,RF,0.93,0.92,0.92,0.94,0.95,0.94,0.92,0.93,0.91,0.97,0.95,0.93,
French,2,gender,True,2,RF,0.77,0.76,0.76,0.83,0.82,0.82,0.78,0.81,0.73,0.73,0.83,0.79,
French,2,gender,True,1,DT,0.67,0.73,0.71,0.72,0.70,0.68,0.74,0.69,0.68,0.62,0.76,0.70,
French,2,gender,False,1,DT,0.70,0.68,0.68,0.72,0.68,0.66,0.71,0.68,0.66,0.65,0.76,0.71,
French,2,gender,True,3,NN,0.77,0.79,0.73,0.81,0.78,0.75,0.76,0.81,0.74,0.74,0.78,0.77,
French,2,gender,False,2,RF,0.77,0.71,0.75,0.83,0.81,0.81,0.80,0.82,0.74,0.77,0.83,0.80,
French,2,gender,False,3,NN,0.73,0.80,0.71,0.83,0.80,0.77,0.79,0.80,0.74,0.71,0.81,0.74,
