lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.90,0.84,0.88,0.87,0.94,0.86,0.88,0.90,0.85,0.82,0.85,0.85,
Czech,1,plurality,True,3,NN,0.89,0.83,0.81,0.82,0.88,0.87,0.89,0.88,0.83,0.80,0.81,0.82,
Czech,1,plurality,True,1,DT,0.86,0.86,0.87,0.82,0.90,0.81,0.82,0.88,0.85,0.81,0.83,0.82,
Czech,1,plurality,False,2,RF,0.84,0.81,0.83,0.83,0.92,0.84,0.83,0.88,0.80,0.79,0.81,0.84,
Czech,1,plurality,False,3,NN,0.83,0.79,0.80,0.79,0.88,0.85,0.83,0.83,0.85,0.78,0.81,0.84,
Czech,1,plurality,False,1,DT,0.81,0.80,0.77,0.83,0.86,0.81,0.84,0.84,0.78,0.72,0.80,0.82,
Czech,2,gender2,True,3,NN,0.92,0.94,0.93,0.89,0.84,0.89,0.93,0.88,0.93,0.90,0.90,0.85,
Czech,2,gender2,False,2,RF,0.70,0.70,0.68,0.61,0.68,0.71,0.69,0.65,0.69,0.69,0.73,0.61,
Czech,2,gender2,False,1,DT,0.65,0.67,0.63,0.58,0.60,0.59,0.58,0.56,0.60,0.60,0.62,0.60,
Czech,2,gender2,False,3,NN,0.69,0.74,0.73,0.69,0.72,0.73,0.73,0.68,0.70,0.69,0.80,0.71,
Czech,2,gender2,True,1,DT,0.88,0.90,0.70,0.80,0.60,0.56,0.90,0.84,0.73,0.61,0.66,0.82,
Czech,2,gender2,True,2,RF,0.90,0.94,0.92,0.81,0.77,0.89,0.89,0.91,0.91,0.90,0.86,0.82,
Czech,3,case,True,1,DT,0.55,0.48,0.53,0.39,0.38,0.29,0.44,0.46,0.47,0.37,0.48,0.38,
Czech,3,case,True,3,NN,0.43,0.44,0.46,0.44,0.40,0.39,0.45,0.49,0.47,0.39,0.43,0.35,
Czech,3,case,False,2,RF,0.46,0.46,0.42,0.42,0.45,0.41,0.44,0.48,0.42,0.45,0.48,0.43,
Czech,3,case,True,2,RF,0.57,0.56,0.51,0.52,0.50,0.47,0.54,0.59,0.51,0.51,0.59,0.48,
Czech,3,case,False,1,DT,0.44,0.40,0.38,0.37,0.29,0.33,0.39,0.48,0.38,0.35,0.34,0.38,
Czech,3,case,False,3,NN,0.41,0.48,0.38,0.40,0.43,0.39,0.37,0.42,0.41,0.33,0.42,0.35,
