lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Irish,1,plurality,True,2,RF,0.72,0.72,0.77,0.71,0.67,0.70,0.73,0.70,0.79,0.72,0.71,0.68,
Irish,1,plurality,True,3,NN,0.66,0.65,0.67,0.65,0.60,0.69,0.68,0.69,0.67,0.72,0.67,0.65,
Irish,1,plurality,True,1,DT,0.67,0.63,0.67,0.65,0.66,0.68,0.71,0.66,0.78,0.66,0.65,0.60,
Irish,1,plurality,False,2,RF,0.69,0.68,0.71,0.69,0.66,0.70,0.73,0.68,0.76,0.71,0.69,0.66,
Irish,1,plurality,False,3,NN,0.63,0.62,0.64,0.61,0.62,0.68,0.65,0.66,0.65,0.68,0.64,0.65,
Irish,1,plurality,False,1,DT,0.64,0.63,0.67,0.64,0.63,0.65,0.72,0.65,0.74,0.70,0.65,0.62,
Irish,2,gender,True,3,NN,0.81,0.76,0.79,0.77,0.68,0.77,0.80,0.68,0.76,0.74,0.67,0.74,
Irish,2,gender,False,2,RF,0.75,0.68,0.75,0.72,0.73,0.71,0.70,0.75,0.75,0.73,0.68,0.76,
Irish,2,gender,False,1,DT,0.74,0.66,0.70,0.70,0.73,0.67,0.67,0.70,0.71,0.69,0.65,0.76,
Irish,2,gender,False,3,NN,0.71,0.66,0.70,0.76,0.73,0.72,0.66,0.67,0.74,0.69,0.64,0.73,
Irish,2,gender,True,1,DT,0.79,0.65,0.76,0.72,0.76,0.70,0.73,0.72,0.71,0.70,0.62,0.73,
Irish,2,gender,True,2,RF,0.85,0.75,0.78,0.81,0.76,0.74,0.81,0.76,0.80,0.73,0.70,0.75,
Irish,3,case,True,1,DT,0.95,0.95,0.95,0.95,0.97,0.95,0.98,0.97,0.98,0.98,0.94,0.98,
Irish,3,case,True,3,NN,0.96,0.96,0.95,0.96,0.97,0.95,0.98,0.97,0.98,0.98,0.95,0.99,
Irish,3,case,False,2,RF,0.96,0.96,0.95,0.96,0.97,0.95,0.97,0.97,0.98,0.98,0.95,0.99,
Irish,3,case,True,2,RF,0.96,0.96,0.95,0.96,0.97,0.95,0.98,0.97,0.98,0.98,0.95,0.99,
Irish,3,case,False,1,DT,0.95,0.96,0.94,0.96,0.94,0.95,0.96,0.97,0.97,0.97,0.95,0.98,
Irish,3,case,False,3,NN,0.96,0.96,0.95,0.96,0.97,0.95,0.98,0.97,0.98,0.98,0.95,0.99,
