lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.78,0.77,0.77,0.81,0.72,0.80,0.84,0.82,0.70,0.80,0.74,0.77,
German,1,plurality,False,2,RF,0.80,0.78,0.80,0.85,0.74,0.82,0.82,0.78,0.74,0.83,0.79,0.80,
German,1,plurality,False,3,NN,0.81,0.79,0.72,0.79,0.78,0.84,0.79,0.77,0.71,0.81,0.78,0.74,
German,1,plurality,False,1,DT,0.82,0.76,0.77,0.72,0.71,0.80,0.78,0.74,0.69,0.81,0.80,0.78,
German,1,plurality,True,2,RF,0.84,0.83,0.80,0.85,0.77,0.84,0.85,0.83,0.76,0.83,0.81,0.79,
German,1,plurality,True,3,NN,0.80,0.78,0.78,0.86,0.78,0.82,0.86,0.80,0.74,0.83,0.79,0.78,
German,2,gender,True,2,RF,0.64,0.57,0.56,0.65,0.52,0.49,0.63,0.57,0.62,0.60,0.60,0.58,
German,2,gender,True,1,DT,0.56,0.51,0.48,0.48,0.43,0.40,0.43,0.49,0.53,0.55,0.48,0.56,
German,2,gender,True,3,NN,0.60,0.55,0.59,0.55,0.56,0.52,0.54,0.56,0.62,0.50,0.55,0.53,
German,2,gender,False,2,RF,0.60,0.49,0.54,0.60,0.54,0.50,0.58,0.56,0.57,0.60,0.56,0.55,
German,2,gender,False,3,NN,0.56,0.55,0.54,0.58,0.59,0.57,0.53,0.55,0.61,0.50,0.53,0.57,
German,2,gender,False,1,DT,0.51,0.45,0.44,0.51,0.43,0.41,0.38,0.47,0.53,0.53,0.42,0.52,
German,3,case,True,1,DT,0.37,0.42,0.38,0.37,0.36,0.36,0.33,0.39,0.35,0.36,0.41,0.36,
German,3,case,True,3,NN,0.33,0.38,0.27,0.34,0.46,0.39,0.39,0.37,0.35,0.41,0.39,0.32,
German,3,case,False,1,DT,0.33,0.43,0.35,0.35,0.32,0.36,0.39,0.45,0.28,0.39,0.46,0.36,
German,3,case,False,2,RF,0.38,0.35,0.36,0.40,0.46,0.40,0.39,0.40,0.34,0.41,0.45,0.34,
German,3,case,False,3,NN,0.42,0.40,0.34,0.32,0.41,0.36,0.32,0.35,0.35,0.37,0.33,0.32,
German,3,case,True,2,RF,0.40,0.43,0.41,0.39,0.42,0.42,0.39,0.43,0.38,0.42,0.45,0.36,
