lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,2,gender2,True,1,DT,0.94,0.76,0.84,0.79,0.56,0.61,0.89,0.76,0.89,0.61,0.60,0.69,
Czech,2,gender2,True,2,RF,0.93,0.93,0.89,0.89,0.88,0.76,0.94,0.92,0.95,0.92,0.87,0.82,
Czech,2,gender2,True,3,NN,0.93,0.94,0.93,0.90,0.92,0.92,0.94,0.95,0.94,0.94,0.90,0.81,
Czech,2,gender2,False,1,DT,0.67,0.67,0.61,0.66,0.59,0.61,0.65,0.64,0.65,0.57,0.62,0.58,
Czech,2,gender2,False,2,RF,0.74,0.76,0.70,0.73,0.73,0.70,0.71,0.74,0.74,0.74,0.72,0.68,
Czech,2,gender2,False,3,NN,0.70,0.76,0.73,0.72,0.78,0.80,0.73,0.74,0.76,0.75,0.73,0.73,
