lang,attribute.index,attribute,supplement,method.index,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,max
German,1,plurality,True,1,DT,0.78,0.78,0.73,0.80,0.71,0.75,0.82,0.78,0.78,0.74,0.84,0.78,
German,1,plurality,False,3,NN,0.69,0.73,0.70,0.77,0.75,0.81,0.69,0.77,0.78,0.78,0.75,0.78,
German,1,plurality,False,1,DT,0.80,0.81,0.78,0.71,0.73,0.80,0.73,0.73,0.78,0.78,0.77,0.75,
German,1,plurality,True,2,RF,0.81,0.85,0.81,0.84,0.77,0.84,0.85,0.84,0.83,0.84,0.78,0.85,
German,1,plurality,False,2,RF,0.77,0.82,0.76,0.80,0.77,0.82,0.79,0.79,0.78,0.82,0.81,0.82,
German,1,plurality,True,3,NN,0.73,0.79,0.74,0.82,0.76,0.78,0.85,0.80,0.78,0.80,0.78,0.75,
German,2,gender,False,1,DT,0.45,0.45,0.50,0.39,0.50,0.47,0.43,0.44,0.55,0.43,0.48,0.54,
German,2,gender,False,2,RF,0.48,0.53,0.53,0.47,0.55,0.64,0.60,0.48,0.59,0.61,0.52,0.58,
German,2,gender,True,1,DT,0.44,0.39,0.47,0.48,0.49,0.60,0.53,0.42,0.51,0.53,0.55,0.56,
German,2,gender,True,2,RF,0.51,0.58,0.55,0.45,0.54,0.67,0.59,0.53,0.57,0.54,0.55,0.58,
German,2,gender,True,3,NN,0.41,0.54,0.62,0.56,0.55,0.53,0.54,0.48,0.55,0.55,0.55,0.51,
German,2,gender,False,3,NN,0.45,0.50,0.51,0.52,0.48,0.55,0.50,0.55,0.60,0.58,0.55,0.53,
German,3,case,False,1,DT,0.27,0.39,0.42,0.33,0.34,0.36,0.39,0.36,0.32,0.38,0.39,0.31,
German,3,case,True,1,DT,0.37,0.35,0.40,0.43,0.36,0.36,0.37,0.37,0.33,0.29,0.37,0.36,
German,3,case,True,3,NN,0.35,0.34,0.23,0.33,0.38,0.34,0.33,0.33,0.28,0.35,0.34,0.34,
German,3,case,True,2,RF,0.35,0.38,0.41,0.45,0.37,0.40,0.45,0.37,0.40,0.41,0.43,0.31,
German,3,case,False,3,NN,0.36,0.40,0.28,0.37,0.33,0.37,0.39,0.33,0.33,0.37,0.37,0.29,
German,3,case,False,2,RF,0.31,0.37,0.39,0.44,0.33,0.40,0.38,0.35,0.33,0.38,0.44,0.36,
