lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.76,0.85,0.78,0.78,0.75,0.80,0.88,0.77,0.86,0.76,0.72,0.76,
German,1,plurality,False,1,DT,0.73,0.81,0.82,0.78,0.78,0.83,0.75,0.84,0.81,0.75,0.78,0.78,
German,1,plurality,False,2,RF,0.79,0.81,0.84,0.81,0.79,0.78,0.76,0.83,0.81,0.80,0.84,0.78,
German,1,plurality,True,2,RF,0.86,0.87,0.86,0.82,0.83,0.78,0.85,0.87,0.85,0.82,0.86,0.82,
German,1,plurality,False,3,NN,0.70,0.73,0.80,0.78,0.78,0.81,0.75,0.80,0.80,0.77,0.79,0.75,
German,1,plurality,True,3,NN,0.78,0.76,0.85,0.77,0.75,0.86,0.82,0.82,0.81,0.79,0.77,0.79,
German,2,gender,False,1,DT,0.47,0.45,0.45,0.49,0.45,0.45,0.45,0.55,0.42,0.47,0.48,0.53,
German,2,gender,False,2,RF,0.56,0.49,0.53,0.55,0.49,0.49,0.52,0.61,0.52,0.56,0.53,0.52,
German,2,gender,False,3,NN,0.52,0.51,0.51,0.52,0.48,0.50,0.44,0.55,0.58,0.56,0.50,0.51,
German,2,gender,True,2,RF,0.58,0.52,0.56,0.60,0.45,0.50,0.55,0.61,0.54,0.56,0.50,0.53,
German,2,gender,True,3,NN,0.55,0.54,0.48,0.51,0.43,0.49,0.45,0.54,0.51,0.59,0.51,0.53,
German,2,gender,True,1,DT,0.53,0.56,0.49,0.47,0.47,0.39,0.41,0.53,0.50,0.51,0.44,0.49,
German,3,case,True,3,NN,0.32,0.30,0.37,0.33,0.31,0.34,0.31,0.32,0.39,0.36,0.37,0.34,
German,3,case,True,1,DT,0.27,0.37,0.40,0.33,0.35,0.44,0.40,0.41,0.33,0.28,0.34,0.28,
German,3,case,True,2,RF,0.37,0.43,0.50,0.29,0.42,0.46,0.38,0.45,0.32,0.38,0.38,0.42,
German,3,case,False,2,RF,0.34,0.38,0.46,0.31,0.39,0.42,0.46,0.42,0.33,0.38,0.36,0.45,
German,3,case,False,1,DT,0.38,0.39,0.37,0.34,0.36,0.33,0.39,0.43,0.33,0.28,0.36,0.34,
German,3,case,False,3,NN,0.39,0.32,0.40,0.38,0.35,0.29,0.36,0.33,0.36,0.36,0.35,0.32,
