"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","23828"
"query","Query:[lc=""chien"" | lemma=""chien"" | morphemes=""chien""]"
"Reference","Left","KWIC","Right"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","d''/SP emmener/VMN0000  le/DA0MS0  fidèle/AQ0CS00  Pouf/NPMS000 ./Fp </s><s> On/PP3CSN0  le/PP3MSA0  recommanda/VMIS3S0  aux/SP  domestiques/NCCP000 ,/Fc  et/CC  malgré/SP  les/DA0CP0  signes/NCMP000  d''/SP une/DI0FS0  douleur/NCFS000  bien/RG  sincère/AQ0CS00 ,/Fc  le/DA0MS0"," chien/NCMS000"," resta/VMIS3S0  à/SP  la/DA0FS0  maison/NCFS000 ./Fp </s><s> Privé/VMP00SM  de/SP  ses/DP3CPS  chers/AQ0MP00  maîtres/NCMP000 ,/Fc  Pouf/NPMS000  ne/RN  voulut/VMIS3S0  prendre/VMN0000  aucune/DI0FS0  nourriture/NCFS000 ./Fp </s><s> Il/PP3MSN0  se/PP3CN00  lamentoit/NCMS000  le/DA0MS0  jour/NCMS000  et/CC  la/DA0FS0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée",",/Fc  Pouf/NPMS000  ne/RN  but/VMIS3S0  que/RN  de/SP  l''/DA0CS0 eau/NCFS000 ;/Fx  il/PP3MSN0  étoit/NCMS000  dévoré/VMP00SM  par/SP  une/DI0FS0  fièvre/NCFS000  ardente/AQ0FS00 ,/Fc  qui/PR00000  causa/VMIS3S0  sa/DP3FSS  mort/NCFS000 ./Fp </s><s> La/DA0FS0  famille/NCFS000  étant/VSG0000  revenue/VMP00SF ,/Fc  ce/DD0MS0  bon/AQ0MS00"," chien/NCMS000"," rassembla/VMIS3S0  toutes/DI0FP0  ses/DP3CPS  forces/NCFP000 ,/Fc  pour/SP  témoigner/VMN0000  à/SP  ses/DP3CPS  chers/AQ0MP00  maîtres/NCMP000  combien/RG  il/PP3MSN0  étoit/NCMS000  content/AQ0MS00  de/SP  les/PP3CPA0  revoir/VMN0000 ;/Fx  ensuite/RG  il/PP3MSN0  fut/VMIS3S0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","elle/PP3FS00  avoit/VMIP3S0  tenue/VMP00SF  avec/SP  eux/PP3MP00  dans/SP  ses/DP3CPS  jeunes/AQ0CP00  années/NCFP000 ./Fp </s><s> Maman/NCFS000 ,/Fc  dit/VMIP3S0  Mimi/NPMS000  à/SP  madame/NCFS000  Belmont/NPMS000 ,/Fc  lorsqu''elle/AQ0FS0  eut/VAIS3S0  fini/VMP00SM ,/Fc  est-ce/VMIP3S0  que/CS  les/DA0CP0"," chiens/NCMP000"," sont/VMIP3P0  aussi/RG  bons/AQ0MP00  que/CS  vous/PP2CP00  le/PP3MSA0  dites/VMIP2P0  dans/SP  cette/DD0FS0  histoire/NCFS000 ?/Fit --/Fg Mille/NPMP000  fois/NCFN000  davantage/RG ,/Fc  ma/DP1FSS  bonne/AQ0FS00  amie/NCFS000 ./Fp </s><s> On/PP3CSN0  a/VAIP3S0  vu/VMP00SM  souvent/RG  un/DI0MS0  chien/NCMS000"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","chiens/NCMP000  sont/VMIP3P0  aussi/RG  bons/AQ0MP00  que/CS  vous/PP2CP00  le/PP3MSA0  dites/VMIP2P0  dans/SP  cette/DD0FS0  histoire/NCFS000 ?/Fit --/Fg Mille/NPMP000  fois/NCFN000  davantage/RG ,/Fc  ma/DP1FSS  bonne/AQ0FS00  amie/NCFS000 ./Fp </s><s> On/PP3CSN0  a/VAIP3S0  vu/VMP00SM  souvent/RG  un/DI0MS0"," chien/NCMS000"," sauver/VMN0000  la/DA0FS0  vie/NCFS000  à/SP  son/DP3CSS  maître/NCMS000 ,/Fc  ou/CC  mourir/VMN0000  pour/SP  lui/PP3CS00  prouver/VMN0000  sa/DP3FSS  fidélité/NCFS000 ,/Fc  soit/CC  du/SP  chagrin/AQ0MS00  de/SP  l''/PP3CSA0 avoir/VAN0000  perdu/VMP00SM ,/Fc  soit/CC  pour/SP  ne/RN  pas/RN"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","l''/PP3CSA0 avoir/VAN0000  perdu/VMP00SM ,/Fc  soit/CC  pour/SP  ne/RN  pas/RN  abandonner/VMN0000  le/DA0MS0  dépôt/NCMS000  confié/VMP00SM  à/SP  sa/DP3FSS  garde/NCCS000 ./Fp </s><s> --/Fg Maman/NPFS000 ,/Fc  les/DA0CP0  chats/NCMP000  ne/RN  sont/VSIP3P0  pas/RN  si/RG  attachés/VMP00PM  que/CS  les/DA0CP0"," chiens/NCMP000","?/Fit --/Fg Ma/DP1FSS  fille/NCFS000 ,/Fc  ils/PP3MPN0  le/PP3MSA0  sont/VMIP3P0  aussi/RG  à/SP  leur/DP3CSP  manière/NCFS000 ;/Fx  mais/CC  leur/DP3CSP  attachement/NCMS000  est/VSIP3S0  moins/RG  désintéressé/VMP00SM ,/Fc  moins/RG  touchant/AQ0MS00  que/CS  celui/PD0MS00"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","--/Fg Ma/DP1FSS  fille/NCFS000 ,/Fc  ils/PP3MPN0  le/PP3MSA0  sont/VMIP3P0  aussi/RG  à/SP  leur/DP3CSP  manière/NCFS000 ;/Fx  mais/CC  leur/DP3CSP  attachement/NCMS000  est/VSIP3S0  moins/RG  désintéressé/VMP00SM ,/Fc  moins/RG  touchant/AQ0MS00  que/CS  celui/PD0MS00  du/SP"," chien/NCMS000","./Fp </s><s> Un/DI0MS0  chat/NCMS000  est/VMIP3S0  un/DI0MS0  animal/NCMS000  utile/AQ0CS00 ;/Fx  il/PP3MSN0  a/VMIP3S0  beaucoup/RG  d''/SP instinct/NCMS000 ,/Fc  et/CC  il/PP3MSN0  est/VMIP3S0  parfois/RG  très-aimable/AQ0CS0 ./Fp </s><s> Sans/SP  m''/PP1CS00 arrêter/VMN0000  à/SP  chercher/VMN0000  ceux/PD0MP00"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","mauvaises/AQ0FP00  qualités/NCFP000 ./Fp </s><s> Son/DP3CSS  plus/RG  grand/AQ0MS00  plaisir/NCMS000  étoit/NCMS000  de/SP  faire/VMN0000  du/SP  mal/NCMS000  à/SP  tous/DI0MP0  les/DA0CP0  animaux/NCMP000  qu''/PR00000 il/PP3MSN0  rencontroit/AQ0MS0 :/Fd  s''/PP3CN00 il/PP3MSN0  voyoit/VMIP3S0  un/DI0MS0"," chien/NCMS000"," dans/SP  la/DA0FS0  rue/NCFS000 ,/Fc  il/PP3MSN0  lui/PP3CS00  jetoit/NCMS000  une/DI0FS0  pierre/NCFS000 ,/Fc  ou/CC  lui/PP3CS00  donnoit/VMIP3S0  un/DI0MS0  coup/NCMS000  de/SP  bâton/NCMS000 ;/Fx  il/PP3MSN0  se/PP3CN00  faisoit/VMSP3S0  un/DI0MS0  jeu/NCMS000  de/SP  faire/VMN0000  sauter/VMN0000  les/DA0CP0  chats/NCMP000  par/SP  les/DA0CP0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée",";/Fx  quelquefois/RG  même/RG  il/PP3MSN0  leur/PP3CPD0  coupoit/VMIP3S0  les/DA0CP0  oreilles/NCFP000  et/CC  la/DA0FS0  queue/NCFS000 ;/Fx  c''/PPSCNN0 étoient/VMIP3P0  pour/SP  lui/PP3CS00  des/SP  gentillesses/NCFP000 ./Fp </s><s> Un/DI0MS0  jour/NCMS000  il/PP3MSN0  attela/VMIS3S0  un/DI0MS0"," chien/NCMS000"," à/SP  un/DI0MS0  chariot/NCMS000  qu''/PR00000 il/PP3MSN0  avoit/VMIP3S0  chargé/VMP00SM  de/SP  pierres/NCFP000 :/Fd  Tu/PP2CSN0  es/VMIP2S0  maintenant/RG  mon/DP1CSS  cheval/NCMS000 ,/Fc  lui/PP3CS00  disoit-il/NCMS000 ;/Fx  et/CC  il/PP3MSN0  le/PP3MSA0  frappoit/VMIP3S0  rudement/RG ,/Fc"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","t''/PP2CS00 amuse-t-il/VMIP1S0 ?/Fit  lui/PP3CS00  demanda/VMIS3S0  son/DP3CSS  père/NCMS000 ./Fp </s><s> Paul/NP00000  ne/RN  répondit/VMIS3S0  que/RN  par/SP  ses/DP3CPS  pleurs/NCMP000 ./Fp --/Fg Eh/I  bien/RG !/Fat  ajouta/VMIS3S0  Nicolas/NPMN000 ,/Fc  penses-tu/VMIP2S0  que/CS  ce/DD0MS0"," chien/NCMS000"," que/PR00000  tu/PP2CSN0  fais/VMIP1S0  souffrir/VMN0000 ,/Fc  soit/CC  moins/RG  sensible/AQ0CS00  que/CS  toi/PP2CS00  à/SP  la/DA0FS0  douleur/NCFS000 ,/Fc  et/CC  que/CS  les/DA0CP0  coups/NCMP000  de/SP  fouet/NCMS000  lui/PP3CS00  soient/VMSP3P0  plus/RG  supportables/AQ0CP00  qu''/CS"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","de/SP  robe/NCFS000  dans/SP  une/DI0FS0  matinée/NCFS000 ,/Fc  avoit/VMIP3S0  cent/NCMP000  caprices/NCMP000 ,/Fc  mangeoit/VMIP3S0  toutes/DI0FP0  sortes/NCFP000  de/SP  friandises/NCFP000 ,/Fc  tourmentoit/NCMS000  le/DA0MS0  chat/NCMS000 ,/Fc  agaçoit/VMIP3S0  le/DA0MS0"," chien/NCMS000",",/Fc  commandoit/VMIP3S0  avec/SP  hauteur/NCFS000  à/SP  sa/DP3FSS  femme/NCFS000  de/SP  chambre/NCFS000 ,/Fc  et/CC  faisoit/VMSP3S0  gronder/VMN0000  les/DA0CP0  domestiques/NCCP000  dont/PR00000  elle/PP3FS00  dérangeoit/VMIP3S0  le/DA0MS0  service/NCMS000"
