lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both
French,gender,False,RF,0.76,0.82,0.80,0.79,0.79,0.82,0.73,0.81,0.73,0.82,0.82,0.72,0.78,0.82,0.81,0.81,0.81,0.79,0.76,0.79,0.78,0.78,0.78,0.71
French,gender,False,NN,0.77,0.78,0.72,0.72,0.73,0.78,0.68,0.74,0.72,0.77,0.72,0.72,0.80,0.77,0.73,0.74,0.81,0.78,0.67,0.79,0.77,0.68,0.75,0.73
French,gender,False,DT,0.68,0.69,0.79,0.68,0.68,0.62,0.69,0.70,0.73,0.69,0.69,0.59,0.69,0.72,0.77,0.72,0.68,0.69,0.69,0.74,0.71,0.68,0.73,0.63
French,plurality,False,RF,0.96,0.95,0.90,0.95,0.95,0.86,0.89,0.88,0.94,0.97,0.92,0.92,0.95,0.95,0.88,0.97,0.94,0.86,0.90,0.92,0.93,0.96,0.93,0.94
French,plurality,False,NN,0.90,0.95,0.94,0.92,0.96,0.88,0.92,0.90,0.93,0.97,0.97,0.97,0.92,0.93,0.92,0.94,0.95,0.89,0.91,0.93,0.93,0.97,0.95,0.97
French,plurality,False,DT,0.89,0.92,0.88,0.82,0.84,0.72,0.84,0.90,0.89,0.94,0.88,0.88,0.90,0.87,0.84,0.93,0.91,0.83,0.90,0.93,0.89,0.90,0.83,0.83
