lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both
Czech,plurality,False,RF,0.88,0.82,0.84,0.86,0.81,0.86,0.89,0.87,0.82,0.72,0.84,0.82,0.92,0.86,0.87,0.88,0.80,0.85,0.91,0.88,0.85,0.81,0.84,0.80
Czech,plurality,False,NN,0.82,0.81,0.75,0.78,0.81,0.82,0.82,0.82,0.82,0.74,0.79,0.76,0.82,0.82,0.82,0.79,0.81,0.79,0.90,0.87,0.80,0.74,0.80,0.75
Czech,plurality,False,DT,0.86,0.81,0.84,0.85,0.80,0.80,0.88,0.85,0.83,0.72,0.77,0.79,0.87,0.87,0.86,0.88,0.76,0.82,0.89,0.86,0.86,0.78,0.87,0.75
