lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both
German,gender,False,RF,0.45,0.55,0.55,0.54,0.50,0.57,0.54,0.61,0.62,0.61,0.53,0.55,0.55,0.58,0.61,0.55,0.50,0.55,0.54,0.57,0.61,0.60,0.55,0.57
German,gender,False,NN,0.50,0.59,0.52,0.48,0.55,0.56,0.50,0.57,0.53,0.59,0.54,0.51,0.55,0.57,0.52,0.46,0.51,0.52,0.52,0.58,0.55,0.62,0.53,0.60
German,gender,False,DT,0.39,0.49,0.50,0.39,0.51,0.47,0.48,0.55,0.51,0.47,0.50,0.55,0.45,0.55,0.47,0.51,0.45,0.51,0.48,0.55,0.48,0.50,0.48,0.48
German,plurality,False,RF,0.72,0.83,0.74,0.83,0.84,0.82,0.77,0.78,0.76,0.78,0.74,0.79,0.75,0.86,0.80,0.84,0.83,0.79,0.86,0.82,0.79,0.78,0.78,0.82
German,plurality,False,NN,0.69,0.76,0.68,0.76,0.82,0.75,0.70,0.77,0.69,0.81,0.76,0.79,0.73,0.79,0.72,0.78,0.81,0.75,0.78,0.80,0.72,0.82,0.78,0.81
German,plurality,False,DT,0.70,0.74,0.78,0.72,0.76,0.72,0.74,0.77,0.72,0.70,0.72,0.70,0.73,0.77,0.83,0.76,0.82,0.70,0.82,0.82,0.79,0.71,0.77,0.72
