lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both
Irish,gender,False,RF,0.73,0.76,0.74,0.75,0.71,0.76,0.77,0.76,0.66,0.76,0.63,0.75,0.74,0.75,0.74,0.75,0.73,0.76,0.79,0.79,0.70,0.81,0.66,0.73
Irish,gender,False,NN,0.68,0.68,0.72,0.77,0.76,0.68,0.77,0.64,0.67,0.79,0.57,0.71,0.74,0.73,0.72,0.80,0.79,0.72,0.77,0.70,0.70,0.80,0.63,0.64
Irish,gender,False,DT,0.65,0.75,0.65,0.65,0.73,0.69,0.77,0.74,0.67,0.72,0.64,0.73,0.68,0.69,0.69,0.70,0.68,0.63,0.74,0.74,0.65,0.75,0.63,0.72
Irish,plurality,False,RF,0.67,0.63,0.69,0.63,0.70,0.63,0.71,0.65,0.70,0.69,0.64,0.64,0.69,0.66,0.72,0.66,0.70,0.64,0.75,0.65,0.74,0.72,0.64,0.64
Irish,plurality,False,NN,0.60,0.51,0.58,0.57,0.59,0.61,0.55,0.59,0.66,0.68,0.59,0.65,0.59,0.58,0.64,0.61,0.65,0.63,0.66,0.60,0.65,0.66,0.65,0.60
Irish,plurality,False,DT,0.61,0.58,0.65,0.57,0.67,0.61,0.73,0.60,0.70,0.70,0.61,0.64,0.64,0.60,0.69,0.61,0.68,0.59,0.70,0.57,0.69,0.69,0.62,0.63
Irish,case,False,RF,0.99,0.95,0.97,0.98,0.97,0.96,0.96,0.98,0.97,0.97,0.98,0.99,1.00,0.95,0.97,0.98,0.97,0.96,0.96,0.98,0.97,0.97,0.98,0.99
Irish,case,False,NN,0.99,0.95,0.97,0.98,0.97,0.96,0.96,0.98,0.97,0.97,0.98,0.99,0.99,0.95,0.97,0.98,0.97,0.96,0.96,0.98,0.97,0.97,0.98,0.99
Irish,case,False,DT,0.98,0.94,0.95,0.97,0.97,0.96,0.96,0.97,0.93,0.93,0.98,0.99,0.99,0.95,0.96,0.97,0.93,0.94,0.96,0.98,0.97,0.95,0.98,0.98
