lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,2,RF,0.88,0.87,0.88,0.89,0.85,0.91,0.91,0.90,0.89,0.84,0.89,0.92,0.85,0.89,0.85,0.83,0.89,0.78,
Czech,1,plurality,False,2,RF,0.82,0.83,0.84,0.84,0.83,0.88,0.88,0.86,0.88,0.81,0.81,0.83,0.84,0.86,0.83,0.78,0.84,0.79,
Czech,1,plurality,False,3,NN,0.78,0.78,0.80,0.79,0.80,0.77,0.85,0.84,0.85,0.78,0.79,0.79,0.83,0.76,0.80,0.76,0.80,0.74,
Czech,1,plurality,True,1,DT,0.91,0.80,0.87,0.87,0.83,0.86,0.89,0.85,0.82,0.88,0.85,0.86,0.82,0.82,0.83,0.81,0.86,0.81,
Czech,1,plurality,False,1,DT,0.81,0.81,0.83,0.80,0.82,0.84,0.84,0.87,0.86,0.81,0.79,0.83,0.81,0.82,0.79,0.76,0.79,0.73,
Czech,1,plurality,True,3,NN,0.84,0.82,0.82,0.81,0.79,0.82,0.87,0.82,0.85,0.85,0.83,0.86,0.88,0.75,0.79,0.77,0.79,0.74,
Czech,2,gender,True,2,RF,0.70,0.59,0.67,0.70,0.66,0.67,0.67,0.59,0.59,0.61,0.69,0.68,0.71,0.65,0.65,0.61,0.60,0.64,
Czech,2,gender2,False,3,NN,0.66,0.71,0.69,0.66,0.68,0.70,0.70,0.64,0.73,0.61,0.69,0.70,0.69,0.70,0.67,0.71,0.72,0.72,
Czech,2,gender,False,3,NN,0.59,0.63,0.62,0.61,0.64,0.63,0.67,0.61,0.62,0.56,0.66,0.65,0.67,0.64,0.62,0.68,0.68,0.66,
Czech,2,gender,False,1,DT,0.56,0.52,0.55,0.47,0.52,0.57,0.47,0.55,0.49,0.49,0.54,0.45,0.55,0.40,0.50,0.54,0.53,0.55,
Czech,2,gender2,False,1,DT,0.62,0.64,0.63,0.59,0.60,0.65,0.59,0.55,0.59,0.62,0.66,0.57,0.64,0.58,0.58,0.64,0.68,0.65,
Czech,2,gender2,True,3,NN,0.91,0.90,0.93,0.93,0.94,0.91,0.93,0.92,0.88,0.89,0.91,0.91,0.92,0.91,0.91,0.90,0.91,0.92,
Czech,2,gender2,False,2,RF,0.60,0.68,0.66,0.67,0.69,0.70,0.65,0.66,0.68,0.71,0.73,0.66,0.69,0.68,0.67,0.72,0.77,0.71,
Czech,2,gender,True,3,NN,0.59,0.67,0.62,0.62,0.64,0.60,0.67,0.65,0.68,0.59,0.66,0.67,0.64,0.66,0.61,0.69,0.69,0.66,
Czech,2,gender,True,1,DT,0.53,0.48,0.60,0.52,0.56,0.46,0.56,0.51,0.51,0.48,0.53,0.52,0.47,0.52,0.55,0.51,0.58,0.62,
Czech,2,gender2,True,1,DT,0.86,0.66,0.91,0.84,0.75,0.73,0.69,0.87,0.68,0.78,0.80,0.88,0.79,0.75,0.88,0.79,0.78,0.73,
Czech,2,gender2,True,2,RF,0.89,0.90,0.94,0.92,0.93,0.93,0.91,0.93,0.90,0.89,0.92,0.94,0.91,0.90,0.92,0.90,0.92,0.91,
Czech,2,gender,False,2,RF,0.67,0.55,0.64,0.64,0.59,0.59,0.57,0.60,0.59,0.58,0.66,0.65,0.59,0.60,0.66,0.57,0.65,0.66,
Czech,3,case,False,2,RF,0.39,0.44,0.44,0.43,0.46,0.42,0.43,0.46,0.44,0.51,0.43,0.47,0.45,0.50,0.40,0.48,0.44,0.41,
Czech,3,case,False,1,DT,0.36,0.36,0.39,0.39,0.39,0.41,0.39,0.43,0.34,0.48,0.28,0.41,0.43,0.39,0.33,0.40,0.36,0.32,
Czech,3,case,True,2,RF,0.55,0.56,0.50,0.52,0.52,0.51,0.55,0.53,0.53,0.55,0.51,0.57,0.57,0.51,0.42,0.57,0.49,0.46,
Czech,3,case,False,3,NN,0.34,0.34,0.37,0.43,0.37,0.39,0.40,0.39,0.35,0.47,0.41,0.40,0.44,0.41,0.33,0.37,0.36,0.37,
Czech,3,case,True,3,NN,0.46,0.41,0.42,0.44,0.40,0.38,0.42,0.38,0.35,0.48,0.43,0.47,0.45,0.46,0.34,0.39,0.39,0.33,
Czech,3,case,True,1,DT,0.53,0.53,0.45,0.41,0.52,0.45,0.48,0.49,0.42,0.56,0.48,0.47,0.49,0.43,0.39,0.45,0.42,0.40,
