lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,2,RF,0.88,0.88,0.85,0.84,0.87,0.86,0.88,0.85,0.88,0.91,0.93,0.88,0.89,0.83,0.85,0.84,0.84,0.81,
Czech,1,plurality,False,2,RF,0.75,0.82,0.81,0.83,0.82,0.84,0.84,0.83,0.85,0.86,0.85,0.84,0.85,0.81,0.82,0.81,0.81,0.80,
Czech,1,plurality,False,3,NN,0.77,0.84,0.74,0.78,0.81,0.82,0.80,0.83,0.85,0.82,0.85,0.76,0.80,0.77,0.79,0.81,0.81,0.81,
Czech,1,plurality,True,1,DT,0.84,0.86,0.86,0.81,0.82,0.83,0.86,0.81,0.81,0.90,0.89,0.84,0.88,0.81,0.82,0.82,0.81,0.77,
Czech,1,plurality,False,1,DT,0.75,0.81,0.81,0.81,0.80,0.78,0.80,0.80,0.82,0.83,0.82,0.81,0.77,0.82,0.78,0.81,0.76,0.78,
Czech,1,plurality,True,3,NN,0.88,0.88,0.81,0.79,0.82,0.86,0.85,0.82,0.84,0.87,0.90,0.84,0.86,0.80,0.82,0.77,0.83,0.80,
Czech,2,gender,True,2,RF,0.64,0.71,0.67,0.65,0.65,0.69,0.65,0.65,0.70,0.69,0.71,0.63,0.67,0.65,0.62,0.68,0.59,0.59,
Czech,2,gender2,False,3,NN,0.65,0.69,0.71,0.69,0.68,0.69,0.69,0.74,0.68,0.70,0.74,0.63,0.77,0.69,0.73,0.71,0.68,0.69,
Czech,2,gender,False,3,NN,0.56,0.64,0.64,0.60,0.68,0.68,0.71,0.65,0.60,0.63,0.69,0.59,0.66,0.67,0.65,0.63,0.60,0.65,
Czech,2,gender,False,1,DT,0.47,0.48,0.55,0.53,0.49,0.49,0.49,0.51,0.55,0.49,0.56,0.48,0.56,0.54,0.48,0.57,0.49,0.48,
Czech,2,gender2,False,1,DT,0.61,0.62,0.56,0.64,0.64,0.67,0.57,0.60,0.60,0.64,0.70,0.52,0.67,0.65,0.56,0.54,0.57,0.58,
Czech,2,gender2,True,3,NN,0.92,0.93,0.91,0.92,0.94,0.92,0.93,0.89,0.82,0.96,0.94,0.93,0.95,0.93,0.90,0.92,0.85,0.87,
Czech,2,gender2,False,2,RF,0.67,0.69,0.67,0.72,0.71,0.73,0.67,0.67,0.67,0.72,0.76,0.62,0.73,0.69,0.65,0.62,0.69,0.67,
Czech,2,gender,True,3,NN,0.60,0.66,0.64,0.60,0.64,0.64,0.68,0.67,0.64,0.62,0.70,0.58,0.69,0.63,0.68,0.62,0.64,0.65,
Czech,2,gender,True,1,DT,0.52,0.55,0.52,0.59,0.48,0.52,0.59,0.48,0.51,0.58,0.56,0.57,0.47,0.45,0.42,0.55,0.48,0.46,
Czech,2,gender2,True,1,DT,0.92,0.83,0.84,0.75,0.82,0.83,0.67,0.65,0.56,0.90,0.89,0.81,0.72,0.80,0.74,0.67,0.74,0.71,
Czech,2,gender2,True,2,RF,0.94,0.93,0.93,0.92,0.91,0.94,0.92,0.88,0.89,0.94,0.94,0.94,0.91,0.94,0.87,0.91,0.88,0.74,
Czech,2,gender,False,2,RF,0.59,0.63,0.64,0.56,0.57,0.60,0.64,0.56,0.59,0.61,0.67,0.61,0.62,0.58,0.60,0.65,0.56,0.63,
Czech,3,case,False,2,RF,0.42,0.42,0.46,0.49,0.41,0.42,0.46,0.40,0.46,0.37,0.44,0.41,0.52,0.45,0.45,0.37,0.52,0.48,
Czech,3,case,False,1,DT,0.37,0.37,0.40,0.48,0.29,0.34,0.38,0.37,0.38,0.41,0.35,0.34,0.42,0.42,0.38,0.34,0.39,0.34,
Czech,3,case,True,2,RF,0.51,0.50,0.58,0.56,0.46,0.44,0.56,0.53,0.50,0.53,0.56,0.51,0.64,0.54,0.51,0.52,0.57,0.52,
Czech,3,case,False,3,NN,0.41,0.32,0.44,0.39,0.44,0.40,0.31,0.35,0.34,0.31,0.35,0.34,0.46,0.37,0.34,0.30,0.44,0.42,
Czech,3,case,True,3,NN,0.47,0.44,0.47,0.47,0.39,0.43,0.43,0.39,0.36,0.42,0.41,0.34,0.53,0.44,0.37,0.33,0.42,0.42,
Czech,3,case,True,1,DT,0.50,0.49,0.48,0.50,0.46,0.44,0.44,0.46,0.36,0.46,0.49,0.47,0.52,0.50,0.41,0.33,0.51,0.45,
