lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Czech,plurality,False,RF,0.82,0.79,0.83,0.85,0.80,0.82,0.82,0.79,0.80,0.82,0.86,0.81
Czech,plurality,False,NN,0.82,0.75,0.78,0.80,0.80,0.78,0.78,0.70,0.75,0.79,0.84,0.80
Czech,plurality,False,DT,0.82,0.79,0.78,0.75,0.71,0.77,0.77,0.76,0.78,0.73,0.83,0.79
Czech,plurality,True,RF,0.85,0.83,0.85,0.86,0.79,0.82,0.89,0.84,0.88,0.84,0.85,0.78
Czech,plurality,True,NN,0.82,0.78,0.82,0.82,0.84,0.76,0.84,0.74,0.76,0.79,0.84,0.80
Czech,plurality,True,DT,0.87,0.80,0.86,0.82,0.72,0.72,0.85,0.82,0.85,0.81,0.81,0.77
Czech,gender,False,RF,0.52,0.57,0.65,0.59,0.60,0.62,0.66,0.58,0.50,0.57,0.62,0.53
Czech,gender,False,NN,0.56,0.56,0.60,0.62,0.58,0.65,0.53,0.57,0.53,0.53,0.70,0.60
Czech,gender,False,DT,0.45,0.38,0.41,0.47,0.51,0.48,0.49,0.40,0.46,0.50,0.47,0.47
Czech,gender,True,RF,0.62,0.57,0.62,0.62,0.57,0.69,0.64,0.57,0.54,0.61,0.57,0.54
Czech,gender,True,NN,0.57,0.52,0.54,0.57,0.56,0.62,0.61,0.60,0.48,0.51,0.68,0.60
Czech,gender,True,DT,0.52,0.54,0.47,0.45,0.45,0.56,0.51,0.53,0.48,0.36,0.44,0.39
Czech,case,False,RF,0.47,0.32,0.45,0.43,0.47,0.36,0.43,0.38,0.43,0.45,0.42,0.36
Czech,case,False,NN,0.42,0.33,0.36,0.34,0.42,0.34,0.37,0.33,0.26,0.42,0.36,0.34
Czech,case,False,DT,0.45,0.37,0.43,0.37,0.44,0.31,0.45,0.34,0.39,0.36,0.37,0.26
Czech,case,True,RF,0.59,0.38,0.51,0.47,0.50,0.36,0.53,0.48,0.52,0.52,0.47,0.44
Czech,case,True,NN,0.51,0.34,0.42,0.35,0.41,0.40,0.42,0.40,0.38,0.45,0.36,0.35
Czech,case,True,DT,0.49,0.34,0.45,0.40,0.44,0.35,0.54,0.41,0.47,0.44,0.44,0.30
