lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
German,plurality,False,RF,0.79,0.81,0.82,0.78,0.78,0.75,0.84,0.86,0.77,0.75,0.83,0.78
German,plurality,False,NN,0.75,0.79,0.78,0.72,0.75,0.77,0.78,0.78,0.78,0.76,0.83,0.76
German,plurality,False,DT,0.77,0.78,0.76,0.72,0.72,0.73,0.82,0.82,0.78,0.83,0.79,0.74
German,plurality,True,RF,0.83,0.82,0.85,0.80,0.79,0.81,0.87,0.91,0.84,0.79,0.87,0.78
German,plurality,True,NN,0.79,0.81,0.83,0.77,0.77,0.72,0.78,0.83,0.82,0.77,0.88,0.77
German,plurality,True,DT,0.78,0.78,0.73,0.73,0.72,0.79,0.80,0.82,0.82,0.80,0.82,0.74
German,gender,False,RF,0.50,0.61,0.51,0.55,0.53,0.62,0.57,0.46,0.60,0.47,0.44,0.62
German,gender,False,NN,0.45,0.66,0.51,0.56,0.50,0.61,0.48,0.53,0.54,0.51,0.54,0.54
German,gender,False,DT,0.45,0.55,0.45,0.50,0.50,0.52,0.53,0.45,0.50,0.46,0.38,0.53
German,gender,True,RF,0.50,0.61,0.55,0.62,0.55,0.62,0.59,0.52,0.59,0.47,0.50,0.55
German,gender,True,NN,0.47,0.63,0.52,0.55,0.54,0.56,0.59,0.56,0.55,0.52,0.50,0.47
German,gender,True,DT,0.44,0.52,0.54,0.52,0.53,0.41,0.46,0.53,0.56,0.36,0.41,0.50
German,case,False,RF,0.41,0.45,0.34,0.53,0.39,0.36,0.35,0.42,0.34,0.42,0.41,0.43
German,case,False,NN,0.34,0.27,0.27,0.35,0.32,0.38,0.30,0.38,0.31,0.33,0.38,0.31
German,case,False,DT,0.41,0.47,0.32,0.33,0.33,0.38,0.35,0.28,0.28,0.39,0.34,0.35
German,case,True,RF,0.45,0.43,0.38,0.43,0.34,0.42,0.34,0.38,0.40,0.39,0.38,0.42
German,case,True,NN,0.36,0.27,0.23,0.40,0.34,0.33,0.37,0.34,0.30,0.38,0.32,0.39
German,case,True,DT,0.35,0.47,0.37,0.44,0.33,0.43,0.35,0.43,0.33,0.29,0.33,0.33
