lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.84,0.82,0.79,0.81,0.75,0.79,0.84,0.82,0.82,0.75,0.73,0.77,
German,1,plurality,True,3,NN,0.83,0.86,0.85,0.82,0.81,0.82,0.82,0.84,0.84,0.79,0.77,0.77,
German,1,plurality,True,2,RF,0.84,0.87,0.83,0.86,0.84,0.88,0.88,0.85,0.83,0.81,0.83,0.80,
German,1,plurality,False,2,RF,0.82,0.80,0.82,0.84,0.83,0.87,0.81,0.81,0.80,0.79,0.79,0.80,
German,1,plurality,False,3,NN,0.80,0.83,0.78,0.81,0.80,0.80,0.81,0.79,0.79,0.79,0.79,0.77,
German,1,plurality,False,1,DT,0.81,0.79,0.79,0.80,0.77,0.75,0.79,0.79,0.78,0.77,0.75,0.75,
German,2,gender,True,3,NN,0.58,0.57,0.61,0.60,0.59,0.56,0.59,0.61,0.56,0.57,0.58,0.59,
German,2,gender,False,2,RF,0.58,0.56,0.58,0.58,0.55,0.54,0.58,0.58,0.55,0.55,0.55,0.65,
German,2,gender,False,1,DT,0.50,0.50,0.50,0.52,0.51,0.49,0.49,0.53,0.43,0.45,0.47,0.52,
German,2,gender,False,3,NN,0.54,0.57,0.63,0.60,0.59,0.56,0.53,0.63,0.55,0.57,0.58,0.59,
German,2,gender,True,1,DT,0.54,0.56,0.55,0.45,0.54,0.43,0.54,0.50,0.52,0.46,0.59,0.53,
German,2,gender,True,2,RF,0.58,0.61,0.59,0.59,0.58,0.54,0.66,0.59,0.55,0.59,0.60,0.62,
German,3,case,True,1,DT,0.32,0.36,0.42,0.39,0.36,0.37,0.39,0.39,0.38,0.40,0.31,0.37,
German,3,case,True,3,NN,0.40,0.38,0.34,0.36,0.37,0.34,0.37,0.39,0.39,0.43,0.40,0.37,
German,3,case,False,2,RF,0.38,0.39,0.36,0.44,0.38,0.38,0.35,0.39,0.44,0.43,0.38,0.40,
German,3,case,True,2,RF,0.41,0.42,0.39,0.45,0.38,0.37,0.41,0.46,0.40,0.47,0.37,0.39,
German,3,case,False,1,DT,0.40,0.34,0.39,0.33,0.35,0.31,0.33,0.40,0.32,0.34,0.34,0.35,
German,3,case,False,3,NN,0.36,0.38,0.33,0.38,0.33,0.37,0.37,0.36,0.41,0.40,0.38,0.42,
