lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.81,0.82,0.81,0.82,0.71,0.77,0.86,0.76,0.79,0.82,0.81,0.72,
German,1,plurality,False,1,DT,0.73,0.78,0.75,0.70,0.76,0.80,0.76,0.73,0.82,0.74,0.79,0.78,
German,1,plurality,False,2,RF,0.72,0.85,0.73,0.78,0.82,0.78,0.75,0.76,0.82,0.82,0.85,0.73,
German,1,plurality,True,2,RF,0.82,0.89,0.82,0.82,0.79,0.81,0.85,0.80,0.84,0.85,0.85,0.77,
German,1,plurality,False,3,NN,0.73,0.76,0.69,0.77,0.79,0.79,0.76,0.68,0.76,0.76,0.83,0.73,
German,1,plurality,True,3,NN,0.81,0.84,0.73,0.74,0.74,0.77,0.73,0.72,0.77,0.74,0.78,0.72,
German,2,gender,False,1,DT,0.45,0.55,0.44,0.52,0.35,0.50,0.44,0.54,0.50,0.50,0.50,0.49,
German,2,gender,False,2,RF,0.48,0.57,0.54,0.55,0.48,0.63,0.54,0.55,0.50,0.54,0.52,0.57,
German,2,gender,False,3,NN,0.46,0.52,0.46,0.49,0.52,0.54,0.50,0.48,0.52,0.52,0.50,0.58,
German,2,gender,True,2,RF,0.50,0.57,0.55,0.53,0.48,0.57,0.54,0.53,0.54,0.57,0.55,0.54,
German,2,gender,True,3,NN,0.45,0.55,0.48,0.52,0.52,0.52,0.48,0.51,0.54,0.55,0.55,0.58,
German,2,gender,True,1,DT,0.50,0.44,0.48,0.50,0.46,0.46,0.45,0.49,0.46,0.52,0.41,0.46,
German,3,case,True,3,NN,0.37,0.35,0.33,0.32,0.41,0.30,0.32,0.39,0.28,0.40,0.38,0.33,
German,3,case,True,1,DT,0.33,0.40,0.24,0.41,0.38,0.38,0.33,0.28,0.31,0.46,0.37,0.31,
German,3,case,True,2,RF,0.39,0.43,0.36,0.43,0.43,0.37,0.36,0.40,0.40,0.48,0.41,0.32,
German,3,case,False,2,RF,0.38,0.37,0.29,0.42,0.41,0.42,0.36,0.38,0.33,0.45,0.42,0.34,
German,3,case,False,1,DT,0.40,0.38,0.27,0.38,0.38,0.37,0.31,0.40,0.37,0.35,0.41,0.34,
German,3,case,False,3,NN,0.37,0.38,0.31,0.31,0.42,0.36,0.35,0.40,0.27,0.41,0.33,0.33,
