lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.88,0.90,0.89,0.94,0.88,0.85,0.91,0.91,0.84,0.89,0.82,0.84,
French,1,plurality,True,2,RF,0.90,0.90,0.88,0.97,0.97,0.95,0.95,0.90,0.91,0.93,0.92,0.96,
French,1,plurality,True,3,NN,0.89,0.92,0.94,0.94,0.96,0.92,0.96,0.88,0.93,0.90,0.93,0.91,
French,1,plurality,False,1,DT,0.89,0.88,0.93,0.93,0.90,0.88,0.93,0.85,0.82,0.93,0.87,0.88,
French,1,plurality,False,2,RF,0.89,0.89,0.90,0.96,0.97,0.96,0.90,0.90,0.91,0.93,0.91,0.93,
French,1,plurality,False,3,NN,0.88,0.91,0.92,0.96,0.96,0.93,0.96,0.88,0.94,0.93,0.93,0.92,
French,2,gender,True,1,DT,0.68,0.62,0.69,0.68,0.60,0.59,0.74,0.70,0.77,0.72,0.72,0.66,
French,2,gender,True,2,RF,0.78,0.75,0.73,0.75,0.76,0.77,0.78,0.78,0.82,0.81,0.80,0.78,
French,2,gender,True,3,NN,0.77,0.68,0.73,0.74,0.73,0.73,0.72,0.77,0.74,0.73,0.77,0.72,
French,2,gender,False,1,DT,0.70,0.68,0.76,0.65,0.64,0.72,0.68,0.68,0.78,0.70,0.68,0.69,
French,2,gender,False,2,RF,0.74,0.75,0.78,0.78,0.76,0.78,0.77,0.78,0.82,0.83,0.82,0.81,
French,2,gender,False,3,NN,0.73,0.70,0.73,0.76,0.69,0.71,0.73,0.74,0.74,0.74,0.73,0.67,
