lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
German,plurality,False,RF,0.72,0.77,0.78,0.78,0.82,0.79,0.88,0.82,0.80,0.70,0.84,0.84
German,plurality,False,NN,0.71,0.75,0.78,0.66,0.78,0.76,0.82,0.77,0.75,0.64,0.84,0.85
German,plurality,False,DT,0.72,0.76,0.72,0.67,0.80,0.77,0.85,0.79,0.82,0.67,0.82,0.77
German,plurality,True,RF,0.79,0.82,0.82,0.80,0.80,0.80,0.92,0.87,0.83,0.78,0.83,0.83
German,plurality,True,NN,0.73,0.81,0.80,0.72,0.79,0.76,0.83,0.82,0.78,0.72,0.83,0.82
German,plurality,True,DT,0.79,0.83,0.77,0.65,0.74,0.70,0.86,0.83,0.82,0.74,0.81,0.79
German,gender,False,RF,0.56,0.56,0.52,0.60,0.55,0.57,0.50,0.52,0.48,0.61,0.54,0.48
German,gender,False,NN,0.58,0.50,0.48,0.53,0.51,0.50,0.50,0.51,0.47,0.51,0.56,0.52
German,gender,False,DT,0.44,0.50,0.48,0.53,0.44,0.51,0.44,0.44,0.42,0.53,0.47,0.47
German,gender,True,RF,0.64,0.55,0.54,0.57,0.56,0.55,0.50,0.55,0.51,0.55,0.60,0.50
German,gender,True,NN,0.55,0.52,0.53,0.50,0.58,0.54,0.52,0.51,0.55,0.54,0.59,0.49
German,gender,True,DT,0.50,0.43,0.47,0.53,0.52,0.50,0.47,0.50,0.44,0.48,0.50,0.41
German,case,False,RF,0.36,0.38,0.36,0.42,0.40,0.40,0.42,0.39,0.46,0.38,0.37,0.38
German,case,False,NN,0.31,0.32,0.32,0.33,0.39,0.40,0.30,0.28,0.33,0.27,0.40,0.33
German,case,False,DT,0.38,0.39,0.28,0.34,0.36,0.37,0.42,0.38,0.43,0.44,0.37,0.41
German,case,True,RF,0.38,0.40,0.34,0.41,0.42,0.42,0.40,0.35,0.43,0.33,0.42,0.38
German,case,True,NN,0.32,0.33,0.42,0.29,0.33,0.43,0.37,0.34,0.39,0.33,0.35,0.38
German,case,True,DT,0.38,0.34,0.41,0.39,0.39,0.36,0.38,0.39,0.45,0.31,0.42,0.29
