lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
French,plurality,False,RF,0.90,0.94,0.93,0.96,0.96,0.97,0.93,0.93,0.93,0.97,0.94,0.93
French,plurality,False,NN,0.92,0.96,0.95,0.95,0.98,0.96,0.97,0.88,0.89,0.98,0.96,0.95
French,plurality,False,DT,0.91,0.92,0.86,0.84,0.85,0.86,0.91,0.91,0.83,0.92,0.93,0.88
French,plurality,True,RF,0.94,0.94,0.93,0.97,0.95,0.97,0.95,0.93,0.93,0.96,0.95,0.93
French,plurality,True,NN,0.96,0.93,0.92,0.96,0.93,0.98,0.93,0.90,0.88,0.98,0.95,0.96
French,plurality,True,DT,0.93,0.90,0.89,0.84,0.86,0.91,0.90,0.95,0.89,0.90,0.91,0.88
French,gender,False,RF,0.74,0.79,0.74,0.79,0.82,0.73,0.79,0.78,0.81,0.78,0.72,0.79
French,gender,False,NN,0.76,0.74,0.73,0.78,0.80,0.82,0.70,0.70,0.76,0.68,0.64,0.77
French,gender,False,DT,0.70,0.79,0.68,0.69,0.67,0.62,0.69,0.68,0.69,0.65,0.62,0.66
French,gender,True,RF,0.77,0.80,0.77,0.82,0.84,0.75,0.82,0.78,0.81,0.79,0.72,0.78
French,gender,True,NN,0.75,0.79,0.72,0.78,0.74,0.79,0.79,0.68,0.77,0.72,0.72,0.78
French,gender,True,DT,0.72,0.75,0.70,0.65,0.69,0.68,0.78,0.72,0.72,0.57,0.62,0.73
