lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Irish,plurality,False,RF,0.73,0.81,0.67,0.63,0.68,0.69,0.72,0.66,0.66,0.66,0.67,0.72
Irish,plurality,False,NN,0.64,0.66,0.57,0.62,0.71,0.69,0.59,0.56,0.57,0.52,0.68,0.63
Irish,plurality,False,DT,0.72,0.76,0.60,0.54,0.63,0.61,0.68,0.58,0.61,0.65,0.61,0.68
Irish,plurality,True,RF,0.75,0.86,0.68,0.63,0.73,0.72,0.72,0.70,0.68,0.67,0.69,0.67
Irish,plurality,True,NN,0.64,0.68,0.67,0.63,0.70,0.66,0.64,0.61,0.58,0.54,0.63,0.68
Irish,plurality,True,DT,0.68,0.76,0.65,0.53,0.66,0.68,0.70,0.65,0.58,0.63,0.63,0.68
Irish,gender,False,RF,0.78,0.71,0.70,0.76,0.73,0.64,0.75,0.73,0.69,0.80,0.64,0.73
Irish,gender,False,NN,0.78,0.72,0.68,0.72,0.67,0.65,0.76,0.70,0.64,0.75,0.60,0.71
Irish,gender,False,DT,0.68,0.67,0.68,0.74,0.65,0.64,0.69,0.72,0.71,0.69,0.66,0.77
Irish,gender,True,RF,0.81,0.74,0.72,0.82,0.73,0.71,0.79,0.80,0.73,0.78,0.61,0.78
Irish,gender,True,NN,0.82,0.72,0.73,0.74,0.66,0.68,0.81,0.77,0.70,0.71,0.70,0.73
Irish,gender,True,DT,0.72,0.67,0.71,0.70,0.68,0.60,0.82,0.80,0.74,0.64,0.65,0.72
Irish,case,False,RF,0.98,0.99,0.98,0.99,0.94,0.97,0.96,0.99,0.98,0.94,0.97,0.96
Irish,case,False,NN,0.98,0.99,0.98,0.99,0.93,0.98,0.96,0.99,0.98,0.95,0.97,0.96
Irish,case,False,DT,0.98,0.99,0.98,0.96,0.93,0.97,0.95,0.97,0.98,0.94,0.97,0.93
Irish,case,True,RF,0.98,0.99,0.98,0.99,0.93,0.98,0.96,0.99,0.98,0.95,0.97,0.96
Irish,case,True,NN,0.98,0.99,0.98,0.99,0.93,0.98,0.96,0.99,0.98,0.95,0.97,0.96
Irish,case,True,DT,1.00,0.96,0.98,0.99,0.93,0.96,0.94,0.97,0.97,0.95,0.97,0.96
