lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.79,0.83,0.77,0.65,0.74,0.70,0.86,0.83,0.82,0.74,0.81,0.79,
German,1,plurality,False,3,NN,0.71,0.75,0.78,0.66,0.78,0.76,0.82,0.77,0.75,0.64,0.84,0.85,
German,1,plurality,False,1,DT,0.72,0.76,0.72,0.67,0.80,0.77,0.85,0.79,0.82,0.67,0.82,0.77,
German,1,plurality,True,2,RF,0.79,0.82,0.82,0.80,0.80,0.80,0.92,0.87,0.83,0.78,0.83,0.83,
German,1,plurality,False,2,RF,0.72,0.77,0.78,0.78,0.82,0.79,0.88,0.82,0.80,0.70,0.84,0.84,
German,1,plurality,True,3,NN,0.73,0.81,0.80,0.72,0.79,0.76,0.83,0.82,0.78,0.72,0.83,0.82,
German,2,gender,False,1,DT,0.44,0.50,0.48,0.53,0.44,0.51,0.44,0.44,0.42,0.53,0.47,0.47,
German,2,gender,False,2,RF,0.56,0.56,0.52,0.60,0.55,0.57,0.50,0.52,0.48,0.61,0.54,0.48,
German,2,gender,True,1,DT,0.50,0.43,0.47,0.53,0.52,0.50,0.47,0.50,0.44,0.48,0.50,0.41,
German,2,gender,True,2,RF,0.64,0.55,0.54,0.57,0.56,0.55,0.50,0.55,0.51,0.55,0.60,0.50,
German,2,gender,True,3,NN,0.55,0.52,0.53,0.50,0.58,0.54,0.52,0.51,0.55,0.54,0.59,0.49,
German,2,gender,False,3,NN,0.58,0.50,0.48,0.53,0.51,0.50,0.50,0.51,0.47,0.51,0.56,0.52,
German,3,case,False,1,DT,0.38,0.39,0.28,0.34,0.36,0.37,0.42,0.38,0.43,0.44,0.37,0.41,
German,3,case,True,1,DT,0.38,0.34,0.41,0.39,0.39,0.36,0.38,0.39,0.45,0.31,0.42,0.29,
German,3,case,True,3,NN,0.32,0.33,0.42,0.29,0.33,0.43,0.37,0.34,0.39,0.33,0.35,0.38,
German,3,case,True,2,RF,0.38,0.40,0.34,0.41,0.42,0.42,0.40,0.35,0.43,0.33,0.42,0.38,
German,3,case,False,3,NN,0.31,0.32,0.32,0.33,0.39,0.40,0.30,0.28,0.33,0.27,0.40,0.33,
German,3,case,False,2,RF,0.36,0.38,0.36,0.42,0.40,0.40,0.42,0.39,0.46,0.38,0.37,0.38,
