lang,attribute.index,attribute,supplement,method.index,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,max
French,1,plurality,True,1,DT,0.82,0.93,0.88,0.92,0.82,0.80,0.90,0.93,0.90,0.84,0.83,0.83,
French,1,plurality,True,2,RF,0.91,0.97,0.92,0.90,0.95,0.91,0.93,0.93,0.87,0.93,0.93,0.88,
French,1,plurality,True,3,NN,0.89,0.96,0.92,0.93,0.90,0.93,0.96,0.88,0.94,0.92,0.90,0.89,
French,1,plurality,False,1,DT,0.86,0.87,0.90,0.90,0.80,0.92,0.92,0.88,0.70,0.92,0.92,0.80,
French,1,plurality,False,2,RF,0.92,0.98,0.93,0.89,0.95,0.93,0.93,0.91,0.86,0.93,0.93,0.88,
French,1,plurality,False,3,NN,0.88,0.93,0.94,0.93,0.94,0.94,0.96,0.90,0.94,0.93,0.88,0.87,
French,2,gender,True,1,DT,0.69,0.66,0.71,0.70,0.72,0.75,0.64,0.66,0.74,0.62,0.68,0.69,
French,2,gender,True,2,RF,0.71,0.71,0.78,0.76,0.72,0.78,0.78,0.68,0.80,0.72,0.71,0.75,
French,2,gender,True,3,NN,0.76,0.71,0.75,0.74,0.69,0.77,0.73,0.72,0.78,0.66,0.74,0.72,
French,2,gender,False,1,DT,0.70,0.72,0.72,0.68,0.69,0.74,0.63,0.64,0.59,0.59,0.69,0.67,
French,2,gender,False,2,RF,0.73,0.72,0.72,0.75,0.70,0.78,0.75,0.72,0.79,0.76,0.72,0.73,
French,2,gender,False,3,NN,0.75,0.66,0.79,0.72,0.67,0.73,0.72,0.71,0.78,0.65,0.77,0.67,
