lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
French,plurality,False,RF,0.92,0.92,0.93,0.91,0.94,0.95,0.93,0.91,0.92,0.94,0.91,0.93
French,plurality,False,NN,0.94,0.95,0.93,0.92,0.95,0.92,0.94,0.93,0.93,0.96,0.94,0.94
French,plurality,False,DT,0.91,0.85,0.91,0.87,0.89,0.85,0.89,0.85,0.88,0.91,0.90,0.91
French,plurality,True,RF,0.93,0.93,0.91,0.91,0.93,0.94,0.91,0.92,0.94,0.94,0.92,0.94
French,plurality,True,NN,0.95,0.94,0.94,0.94,0.95,0.93,0.93,0.92,0.95,0.96,0.94,0.93
French,plurality,True,DT,0.92,0.89,0.85,0.90,0.80,0.90,0.89,0.90,0.88,0.90,0.86,0.92
French,gender,False,RF,0.78,0.80,0.79,0.78,0.80,0.73,0.79,0.81,0.77,0.80,0.73,0.81
French,gender,False,NN,0.76,0.77,0.74,0.76,0.77,0.76,0.77,0.77,0.74,0.82,0.78,0.78
French,gender,False,DT,0.71,0.77,0.72,0.71,0.70,0.70,0.63,0.72,0.72,0.72,0.69,0.68
French,gender,True,RF,0.76,0.81,0.79,0.80,0.78,0.72,0.82,0.81,0.77,0.82,0.78,0.80
French,gender,True,NN,0.75,0.81,0.73,0.78,0.79,0.72,0.71,0.79,0.78,0.85,0.78,0.81
French,gender,True,DT,0.74,0.77,0.72,0.75,0.73,0.69,0.71,0.74,0.69,0.70,0.70,0.77
