lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
German,plurality,False,RF,0.82,0.81,0.81,0.86,0.83,0.83,0.84,0.80,0.81,0.81,0.83,0.82
German,plurality,False,NN,0.78,0.77,0.79,0.82,0.79,0.81,0.79,0.78,0.74,0.78,0.81,0.75
German,plurality,False,DT,0.77,0.78,0.79,0.83,0.81,0.85,0.79,0.76,0.80,0.80,0.79,0.81
German,plurality,True,RF,0.85,0.88,0.89,0.90,0.83,0.86,0.85,0.83,0.84,0.84,0.83,0.83
German,plurality,True,NN,0.83,0.83,0.82,0.87,0.78,0.84,0.81,0.83,0.80,0.82,0.81,0.78
German,plurality,True,DT,0.84,0.81,0.83,0.81,0.81,0.83,0.81,0.83,0.82,0.80,0.81,0.82
German,gender,False,RF,0.58,0.54,0.60,0.57,0.60,0.57,0.59,0.54,0.60,0.60,0.51,0.52
German,gender,False,NN,0.50,0.57,0.54,0.55,0.58,0.59,0.57,0.52,0.55,0.52,0.51,0.61
German,gender,False,DT,0.49,0.56,0.52,0.52,0.54,0.54,0.51,0.46,0.56,0.54,0.50,0.51
German,gender,True,RF,0.62,0.51,0.63,0.59,0.61,0.59,0.61,0.57,0.68,0.58,0.52,0.59
German,gender,True,NN,0.54,0.56,0.56,0.55,0.59,0.57,0.60,0.54,0.59,0.53,0.54,0.65
German,gender,True,DT,0.57,0.50,0.58,0.47,0.48,0.53,0.54,0.46,0.54,0.51,0.50,0.53
German,case,False,RF,0.37,0.36,0.39,0.34,0.46,0.40,0.42,0.42,0.41,0.43,0.39,0.38
German,case,False,NN,0.34,0.32,0.36,0.35,0.42,0.35,0.39,0.33,0.39,0.36,0.41,0.36
German,case,False,DT,0.33,0.39,0.36,0.38,0.39,0.35,0.28,0.41,0.40,0.42,0.34,0.35
German,case,True,RF,0.44,0.40,0.41,0.38,0.47,0.43,0.39,0.44,0.39,0.39,0.41,0.34
German,case,True,NN,0.32,0.36,0.35,0.30,0.40,0.35,0.40,0.37,0.36,0.34,0.38,0.38
German,case,True,DT,0.39,0.34,0.34,0.33,0.38,0.29,0.31,0.39,0.39,0.37,0.37,0.38
