lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,skippy2gram-no-hash,skippy3gram-no-hash,skippy4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,skippy2gram-hash-at-both,skippy3gram-hash-at-both,skippy4gram-hash-at-both
Czech,plurality,False,NN,0.73,0.79,0.77,0.74,0.82,0.75,0.78,0.76,0.86,0.82,0.82,0.79,0.83,0.81,0.76,0.77,0.80,0.77,0.78,0.78,0.86,0.81,0.88,0.81
Czech,plurality,False,DT,0.77,0.80,0.78,0.77,0.80,0.81,0.82,0.74,0.84,0.81,0.84,0.82,0.82,0.82,0.88,0.78,0.79,0.86,0.88,0.78,0.84,0.83,0.83,0.82
Czech,plurality,False,RF,0.82,0.82,0.81,0.78,0.80,0.84,0.83,0.81,0.90,0.87,0.91,0.83,0.83,0.84,0.83,0.82,0.83,0.88,0.88,0.84,0.92,0.88,0.88,0.87
