lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Czech,plurality,False,RF,0.75,0.88,0.90,0.86,0.86,0.75,0.80,0.86,0.78,0.86,0.84,0.79
Czech,plurality,False,NN,0.75,0.85,0.84,0.80,0.77,0.78,0.76,0.80,0.76,0.82,0.83,0.79
Czech,plurality,False,DT,0.71,0.82,0.91,0.82,0.82,0.78,0.82,0.82,0.79,0.81,0.83,0.79
Czech,plurality,True,RF,0.82,0.93,0.93,0.87,0.87,0.76,0.84,0.88,0.82,0.88,0.85,0.79
Czech,plurality,True,NN,0.80,0.87,0.87,0.77,0.82,0.72,0.78,0.83,0.80,0.84,0.80,0.76
Czech,plurality,True,DT,0.78,0.88,0.83,0.82,0.81,0.75,0.87,0.88,0.82,0.88,0.76,0.78
Czech,gender,False,RF,0.62,0.72,0.67,0.64,0.67,0.64,0.62,0.66,0.58,0.70,0.63,0.54
Czech,gender,False,NN,0.63,0.71,0.62,0.64,0.66,0.63,0.52,0.64,0.60,0.70,0.62,0.64
Czech,gender,False,DT,0.60,0.65,0.57,0.49,0.57,0.54,0.57,0.58,0.55,0.55,0.56,0.45
Czech,gender,True,RF,0.88,0.91,0.93,0.84,0.84,0.76,0.91,0.91,0.88,0.93,0.81,0.78
Czech,gender,True,NN,0.87,0.93,0.91,0.85,0.82,0.83,0.89,0.93,0.86,0.87,0.78,0.74
Czech,gender,True,DT,0.78,0.87,0.87,0.67,0.76,0.62,0.88,0.86,0.84,0.88,0.53,0.43
Czech,case,False,RF,0.49,0.34,0.38,0.38,0.46,0.44,0.42,0.39,0.43,0.37,0.47,0.41
Czech,case,False,NN,0.39,0.26,0.29,0.38,0.42,0.42,0.36,0.31,0.41,0.38,0.45,0.35
Czech,case,False,DT,0.47,0.32,0.32,0.33,0.36,0.38,0.36,0.32,0.38,0.29,0.35,0.38
Czech,case,True,RF,0.61,0.45,0.44,0.50,0.43,0.51,0.50,0.47,0.57,0.47,0.47,0.44
Czech,case,True,NN,0.39,0.32,0.37,0.34,0.38,0.43,0.45,0.31,0.44,0.38,0.40,0.35
Czech,case,True,DT,0.49,0.40,0.48,0.45,0.46,0.38,0.40,0.44,0.44,0.44,0.41,0.39
