lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.82,0.81,0.83,0.79,0.78,0.79,0.85,0.86,0.82,0.81,0.81,0.81,
Czech,1,plurality,True,3,NN,0.85,0.84,0.82,0.81,0.78,0.80,0.89,0.86,0.86,0.85,0.87,0.81,
Czech,1,plurality,False,2,RF,0.76,0.81,0.84,0.81,0.83,0.83,0.86,0.80,0.86,0.83,0.84,0.79,
Czech,1,plurality,True,2,RF,0.84,0.86,0.91,0.82,0.82,0.83,0.93,0.90,0.90,0.88,0.85,0.81,
Czech,1,plurality,False,1,DT,0.74,0.79,0.84,0.76,0.81,0.82,0.82,0.82,0.82,0.82,0.80,0.80,
Czech,1,plurality,False,3,NN,0.75,0.78,0.79,0.80,0.81,0.83,0.84,0.78,0.80,0.86,0.82,0.77,
Czech,2,gender2,False,1,DT,0.58,0.56,0.57,0.55,0.56,0.57,0.62,0.56,0.64,0.69,0.59,0.55,
Czech,2,gender2,True,1,DT,0.86,0.91,0.92,0.55,0.64,0.60,0.89,0.86,0.71,0.91,0.53,0.70,
Czech,2,gender2,True,2,RF,0.94,0.95,0.92,0.85,0.84,0.84,0.92,0.90,0.92,0.92,0.88,0.88,
Czech,2,gender2,True,3,NN,0.89,0.95,0.94,0.91,0.83,0.86,0.91,0.93,0.93,0.90,0.85,0.89,
Czech,2,gender2,False,3,NN,0.69,0.73,0.62,0.68,0.73,0.69,0.68,0.68,0.76,0.66,0.73,0.73,
Czech,2,gender2,False,2,RF,0.65,0.67,0.65,0.68,0.67,0.69,0.69,0.69,0.72,0.69,0.60,0.67,
Czech,3,case,False,1,DT,0.39,0.40,0.38,0.36,0.32,0.38,0.43,0.40,0.37,0.38,0.37,0.41,
Czech,3,case,True,3,NN,0.45,0.42,0.45,0.40,0.33,0.43,0.44,0.46,0.44,0.45,0.42,0.45,
Czech,3,case,True,1,DT,0.45,0.41,0.39,0.42,0.44,0.35,0.53,0.53,0.46,0.40,0.37,0.43,
Czech,3,case,True,2,RF,0.55,0.53,0.54,0.57,0.50,0.51,0.55,0.56,0.51,0.53,0.55,0.48,
Czech,3,case,False,2,RF,0.44,0.42,0.44,0.51,0.46,0.46,0.43,0.44,0.40,0.48,0.47,0.42,
Czech,3,case,False,3,NN,0.35,0.42,0.43,0.42,0.36,0.42,0.36,0.35,0.41,0.44,0.40,0.39,
