lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Irish,plurality,False,RF,0.63,0.67,0.66,0.70,0.62,0.66,0.67,0.66,0.65,0.64,0.72,0.69
Irish,plurality,False,NN,0.63,0.55,0.54,0.63,0.55,0.60,0.59,0.61,0.56,0.52,0.63,0.67
Irish,plurality,False,DT,0.65,0.61,0.67,0.67,0.60,0.66,0.69,0.63,0.64,0.61,0.71,0.58
Irish,plurality,True,RF,0.67,0.67,0.68,0.70,0.62,0.69,0.69,0.70,0.66,0.68,0.73,0.70
Irish,plurality,True,NN,0.67,0.53,0.61,0.65,0.53,0.64,0.68,0.65,0.67,0.67,0.66,0.65
Irish,plurality,True,DT,0.65,0.66,0.66,0.67,0.59,0.64,0.67,0.61,0.63,0.64,0.73,0.70
Irish,gender,False,RF,0.70,0.76,0.77,0.73,0.73,0.72,0.67,0.64,0.67,0.70,0.72,0.79
Irish,gender,False,NN,0.68,0.74,0.65,0.66,0.73,0.71,0.70,0.62,0.71,0.62,0.71,0.78
Irish,gender,False,DT,0.68,0.69,0.75,0.70,0.73,0.62,0.66,0.67,0.66,0.63,0.63,0.69
Irish,gender,True,RF,0.75,0.76,0.76,0.73,0.73,0.74,0.74,0.68,0.72,0.70,0.74,0.78
Irish,gender,True,NN,0.74,0.74,0.74,0.70,0.71,0.74,0.76,0.66,0.72,0.63,0.74,0.77
Irish,gender,True,DT,0.82,0.67,0.76,0.69,0.66,0.69,0.77,0.68,0.65,0.76,0.64,0.77
Irish,case,False,RF,0.96,0.96,0.96,0.94,0.95,0.97,0.97,0.97,0.99,0.96,0.98,0.96
Irish,case,False,NN,0.96,0.96,0.96,0.94,0.95,0.97,0.98,0.97,0.99,0.96,0.98,0.96
Irish,case,False,DT,0.96,0.95,0.96,0.94,0.95,0.96,0.94,0.97,0.98,0.96,0.98,0.96
Irish,case,True,RF,0.96,0.96,0.96,0.94,0.95,0.97,0.98,0.97,0.99,0.96,0.98,0.96
Irish,case,True,NN,0.96,0.96,0.96,0.94,0.95,0.97,0.98,0.97,0.99,0.96,0.98,0.96
Irish,case,True,DT,0.94,0.93,0.95,0.93,0.95,0.96,0.96,0.95,0.98,0.95,0.98,0.96
