lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.91,0.86,0.89,0.89,0.80,0.83,0.88,0.93,0.85,0.87,0.81,0.79,
Czech,1,plurality,True,3,NN,0.94,0.90,0.87,0.88,0.83,0.86,0.88,0.91,0.87,0.85,0.85,0.82,
Czech,1,plurality,True,2,RF,0.90,0.91,0.89,0.92,0.84,0.90,0.90,0.85,0.86,0.88,0.88,0.83,
Czech,1,plurality,False,2,RF,0.84,0.86,0.85,0.90,0.82,0.87,0.83,0.83,0.80,0.86,0.85,0.84,
Czech,1,plurality,False,3,NN,0.81,0.86,0.77,0.85,0.81,0.88,0.82,0.82,0.82,0.84,0.82,0.82,
Czech,1,plurality,False,1,DT,0.81,0.85,0.80,0.85,0.81,0.83,0.80,0.82,0.77,0.84,0.83,0.80,
Czech,2,gender2,True,3,NN,0.94,0.91,0.91,0.91,0.92,0.91,0.93,0.92,0.94,0.93,0.92,0.90,
Czech,2,gender2,False,2,RF,0.76,0.73,0.71,0.70,0.74,0.74,0.71,0.74,0.77,0.73,0.68,0.71,
Czech,2,gender2,False,1,DT,0.61,0.59,0.65,0.63,0.62,0.62,0.63,0.66,0.67,0.62,0.62,0.57,
Czech,2,gender2,False,3,NN,0.76,0.71,0.75,0.74,0.76,0.74,0.66,0.77,0.77,0.71,0.74,0.70,
Czech,2,gender2,True,1,DT,0.92,0.92,0.80,0.80,0.70,0.65,0.93,0.89,0.85,0.77,0.64,0.79,
Czech,2,gender2,True,2,RF,0.95,0.93,0.91,0.89,0.89,0.91,0.93,0.92,0.90,0.93,0.92,0.89,
Czech,3,case,True,1,DT,0.55,0.54,0.48,0.45,0.41,0.45,0.49,0.56,0.52,0.51,0.47,0.42,
Czech,3,case,True,3,NN,0.54,0.49,0.52,0.43,0.38,0.41,0.46,0.55,0.51,0.40,0.41,0.39,
Czech,3,case,False,2,RF,0.45,0.48,0.47,0.40,0.45,0.45,0.45,0.48,0.44,0.44,0.48,0.43,
Czech,3,case,True,2,RF,0.59,0.56,0.55,0.56,0.52,0.51,0.52,0.59,0.54,0.49,0.49,0.50,
Czech,3,case,False,1,DT,0.41,0.39,0.46,0.43,0.32,0.32,0.43,0.42,0.43,0.43,0.42,0.32,
Czech,3,case,False,3,NN,0.46,0.40,0.47,0.40,0.36,0.40,0.40,0.45,0.39,0.38,0.41,0.39,
