lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.88,0.87,0.82,0.78,0.84,0.71,0.84,0.79,0.83,0.77,0.84,0.79,
Czech,1,plurality,True,3,NN,0.86,0.81,0.76,0.83,0.82,0.78,0.82,0.82,0.88,0.79,0.75,0.74,
Czech,1,plurality,True,2,RF,0.89,0.87,0.85,0.86,0.82,0.84,0.91,0.88,0.93,0.83,0.85,0.78,
Czech,1,plurality,False,2,RF,0.81,0.84,0.85,0.82,0.82,0.80,0.88,0.82,0.91,0.82,0.79,0.79,
Czech,1,plurality,False,3,NN,0.85,0.83,0.80,0.79,0.79,0.70,0.82,0.77,0.87,0.79,0.78,0.75,
Czech,1,plurality,False,1,DT,0.80,0.81,0.80,0.73,0.80,0.80,0.84,0.82,0.86,0.80,0.76,0.76,
Czech,2,gender,True,3,NN,0.57,0.58,0.58,0.63,0.62,0.63,0.54,0.52,0.58,0.60,0.57,0.62,
Czech,2,gender,False,2,RF,0.56,0.62,0.59,0.55,0.61,0.57,0.58,0.61,0.62,0.59,0.55,0.52,
Czech,2,gender,False,1,DT,0.44,0.52,0.52,0.52,0.48,0.48,0.46,0.52,0.40,0.41,0.45,0.48,
Czech,2,gender,False,3,NN,0.57,0.55,0.58,0.63,0.58,0.61,0.57,0.53,0.55,0.59,0.60,0.57,
Czech,2,gender,True,1,DT,0.54,0.53,0.57,0.51,0.44,0.48,0.49,0.59,0.47,0.53,0.52,0.40,
Czech,2,gender,True,2,RF,0.59,0.65,0.61,0.61,0.53,0.55,0.70,0.59,0.54,0.68,0.55,0.53,
Czech,3,case,True,1,DT,0.42,0.47,0.44,0.43,0.36,0.35,0.56,0.41,0.42,0.38,0.36,0.39,
Czech,3,case,True,3,NN,0.33,0.37,0.43,0.34,0.42,0.44,0.47,0.42,0.38,0.34,0.39,0.34,
Czech,3,case,False,2,RF,0.36,0.31,0.40,0.41,0.36,0.40,0.40,0.28,0.40,0.40,0.36,0.40,
Czech,3,case,True,2,RF,0.42,0.44,0.57,0.57,0.49,0.38,0.58,0.38,0.43,0.43,0.40,0.51,
Czech,3,case,False,1,DT,0.38,0.30,0.47,0.42,0.29,0.33,0.31,0.34,0.34,0.37,0.27,0.32,
Czech,3,case,False,3,NN,0.34,0.32,0.42,0.33,0.39,0.35,0.31,0.36,0.32,0.33,0.36,0.43,
