lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.86,0.86,0.88,0.77,0.83,0.82,0.88,0.86,0.89,0.81,0.86,0.88,
Czech,1,plurality,True,3,NN,0.85,0.80,0.82,0.79,0.81,0.78,0.86,0.85,0.82,0.78,0.78,0.81,
Czech,1,plurality,True,1,DT,0.86,0.84,0.84,0.78,0.82,0.81,0.85,0.82,0.88,0.77,0.82,0.82,
Czech,1,plurality,False,2,RF,0.85,0.81,0.86,0.75,0.82,0.78,0.82,0.84,0.84,0.79,0.82,0.85,
Czech,1,plurality,False,3,NN,0.78,0.79,0.81,0.78,0.79,0.78,0.79,0.78,0.80,0.78,0.78,0.82,
Czech,1,plurality,False,1,DT,0.74,0.79,0.82,0.73,0.82,0.73,0.78,0.82,0.80,0.74,0.83,0.78,
Czech,2,gender2,True,3,NN,0.92,0.86,0.90,0.77,0.88,0.80,0.94,0.88,0.92,0.88,0.75,0.79,
Czech,2,gender2,False,2,RF,0.72,0.68,0.73,0.65,0.65,0.62,0.63,0.66,0.63,0.62,0.61,0.68,
Czech,2,gender2,False,1,DT,0.53,0.59,0.63,0.57,0.56,0.55,0.53,0.59,0.57,0.55,0.54,0.61,
Czech,2,gender2,False,3,NN,0.64,0.62,0.67,0.60,0.73,0.70,0.62,0.59,0.65,0.66,0.64,0.71,
Czech,2,gender2,True,1,DT,0.88,0.62,0.91,0.50,0.58,0.68,0.85,0.91,0.94,0.77,0.66,0.62,
Czech,2,gender2,True,2,RF,0.93,0.88,0.92,0.84,0.85,0.83,0.88,0.89,0.93,0.95,0.84,0.88,
Czech,3,case,True,1,DT,0.53,0.39,0.42,0.44,0.33,0.43,0.51,0.45,0.40,0.47,0.36,0.43,
Czech,3,case,True,3,NN,0.44,0.38,0.42,0.39,0.35,0.37,0.38,0.44,0.33,0.41,0.39,0.40,
Czech,3,case,False,2,RF,0.50,0.41,0.42,0.44,0.43,0.40,0.36,0.45,0.35,0.42,0.40,0.48,
Czech,3,case,True,2,RF,0.55,0.51,0.50,0.47,0.40,0.49,0.53,0.55,0.43,0.51,0.44,0.50,
Czech,3,case,False,1,DT,0.42,0.42,0.40,0.32,0.30,0.30,0.31,0.40,0.31,0.36,0.36,0.31,
Czech,3,case,False,3,NN,0.50,0.33,0.34,0.31,0.38,0.38,0.32,0.36,0.28,0.40,0.38,0.35,
